orbit_lengths	representatives
2,2,2,2,4,4,4,4,4,4,8,8,8,16,16,16,16	685
2,2,2,2,8,8,16,16,16,16,32	655
4,8,12,32,64	638
2,2,4,4,4,4,4,8,8,16,32,32	637
2,2,4,4,4,4,4,8,8,8,8,8,8,8,8,16,16	619
4,4,4,4,4,4,8,8,16,16,16,16,16	617
2,2,2,2,4,4,4,4,8,8,8,8,16,16,32	606
2,2,2,2,4,4,8,8,8,16,16,16,16,16	588
2,2,4,4,4,4,4,4,4,8,8,8,32,32	583
4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16,16	563
2,2,4,4,4,4,4,8,8,16,16,16,32	559
2,2,4,4,4,4,4,4,4,8,8,8,16,16,16,16	558
4,4,4,4,8,8,8,16,64	558
4,8,12,16,16,64	548
4,8,8,12,24,32,32	548
4,4,4,8,12,24,32,32	544
2,6,24,24,64	529
2,2,4,4,4,4,4,8,8,16,16,16,16,16	512
24,96	511
2,2,4,8,8,8,8,8,8,16,16,32	508
2,2,2,2,4,4,4,4,4,4,8,8,8,64	505
2,2,2,2,4,4,4,4,8,8,8,8,32,32	498
2,2,2,2,8,8,16,16,64	497
2,2,4,16,32,32,32	488
8,16,16,16,16,16,32	487
4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8	474
4,4,4,4,4,4,4,4,8,8,8,8,8,16,16,16	474
4,8,8,12,16,16,24,32	467
2,2,4,4,4,8,32,64	464
4,8,12,16,16,32,32	464
2,2,4,4,4,8,8,8,8,8,8,8,8,8,16,16	462
12,12,96	451
2,2,2,2,4,4,4,4,8,8,8,8,8,8,8,8,16,16	447
2,2,2,2,8,8,16,16,16,16,16,16	447
4,4,4,4,4,4,4,4,8,8,8,16,16,32	432
8,12,12,24,64	431
8,12,12,16,24,48	414
8,48,64	412
8,24,24,32,32	411
2,2,2,2,2,2,4,4,4,8,8,8,8,16,16,16,16	408
2,2,2,2,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8	408
2,2,4,4,8,12,24,32,32	403
4,4,4,8,12,16,16,24,32	397
4,4,4,12,16,16,32,32	396
2,2,2,2,2,2,4,8,16,16,16,16,32	392
8,8,8,8,8,8,8,8,8,16,16,16	390
24,32,64	386
4,4,8,8,8,8,8,8,8,8,8,8,16,16	384
1,1,2,2,2,8,8,8,8,8,8,64	383
1,1,2,4,8,8,32,64	378
1,1,1,1,4,4,4,8,16,16,32,32	374
2,2,4,8,8,8,8,8,8,8,8,16,16,16	374
2,2,2,2,2,2,4,8,16,16,32,32	372
2,2,4,4,4,4,4,4,4,8,8,8,8,8,16,16,16	369
2,2,2,2,2,2,4,4,4,16,16,16,16,32	368
2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8	368
2,2,2,2,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8	364
2,2,2,2,4,4,8,8,8,8,8,8,8,16,16,16	361
2,2,8,12,16,16,64	357
4,4,4,4,4,4,8,8,16,32,32	349
2,2,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16,16	345
4,8,8,12,16,24,48	344
4,8,8,12,24,64	344
4,4,4,4,4,4,8,8,16,16,16,32	343
2,2,2,2,4,4,4,4,4,4,8,8,8,8,8,8,8,16,16	334
4,8,8,8,8,12,16,24,32	332
2,2,4,16,16,16,32,32	331
2,2,2,2,4,4,8,8,8,8,8,8,8,8,8,16,16	328
2,2,4,4,6,6,8,12,12,32,32	328
2,2,4,4,6,6,8,12,12,64	323
4,4,4,4,8,8,8,8,8,8,8,16,32	320
4,4,4,8,12,12,12,32,32	315
2,6,16,24,24,48	310
2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8	308
2,2,2,2,4,4,4,4,4,4,4,4,8,8,16,16,16,16	306
2,2,2,2,2,2,4,4,4,16,16,16,16,16,16	305
4,4,4,4,4,4,4,4,4,4,4,4,8,32,32	303
4,8,12,32,32,32	301
2,2,2,2,8,8,32,32,32	300
2,2,2,2,4,4,4,4,4,4,4,4,8,8,32,32	298
2,2,2,2,2,2,4,8,8,8,8,8,16,16,16,16	296
2,2,2,2,8,8,8,8,16,16,16,32	293
2,2,2,2,4,4,4,4,8,8,8,8,8,8,16,16,16	292
4,4,4,12,32,32,32	290
4,4,4,4,4,4,4,4,4,4,8,8,16,16,16,16	290
2,2,4,4,4,8,8,8,8,8,64	284
1,1,2,4,8,8,16,16,32,32	278
2,2,2,2,4,4,8,16,16,64	278
2,2,4,4,6,6,8,8,8,12,12,24,24	278
2,2,2,2,2,2,4,8,8,8,8,8,32,32	277
2,2,4,4,8,12,16,16,24,32	276
2,2,8,12,16,16,32,32	275
8,16,48,48	270
4,4,4,4,4,4,4,4,4,4,4,4,8,16,16,16,16	269
2,2,2,2,2,2,4,4,4,16,16,32,32	264
4,4,4,4,4,12,12,12,32,32	262
2,2,2,2,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8	260
2,2,2,2,16,16,16,64	259
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8	258
4,4,4,8,8,8,12,12,12,24,24	258
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8	257
8,12,12,24,32,32	256
2,2,4,4,4,4,4,4,4,8,8,8,16,16,32	253
24,48,48	253
2,2,4,4,6,6,8,12,12,16,48	250
1,1,1,1,4,8,8,16,16,32,32	248
2,2,2,2,16,16,16,32,32	247
2,2,2,2,8,8,8,8,16,32,32	247
4,4,4,12,16,16,64	244
2,2,4,4,12,16,16,32,32	242
1,1,2,4,4,4,8,8,8,16,64	241
4,4,4,4,4,4,16,16,64	238
8,8,8,24,24,24,24	238
2,2,8,8,12,24,32,32	236
2,2,4,4,4,8,8,8,8,8,8,8,16,32	235
2,2,2,2,4,4,4,4,4,4,8,8,8,16,16,32	233
2,6,12,12,24,64	231
2,12,18,24,64	223
4,6,6,8,8,24,64	218
2,2,2,2,2,2,4,8,8,8,8,8,16,16,32	216
4,8,12,96	216
2,2,2,2,2,2,4,8,16,16,16,16,16,16	213
2,2,2,2,4,4,4,4,8,8,16,16,16,32	213
2,2,2,2,2,2,4,4,4,8,8,8,8,16,16,32	209
2,2,2,2,2,2,4,4,4,8,8,8,8,8,8,8,8,16,16	209
1,1,2,4,4,4,8,16,16,64	207
4,4,4,4,4,8,8,12,12,12,24,24	207
4,4,4,8,12,12,12,16,48	206
4,4,4,8,12,12,12,64	206
8,8,8,8,8,8,8,16,16,32	206
2,6,24,24,32,32	204
2,2,8,8,12,16,16,24,32	201
1,1,2,4,16,32,64	200
1,1,2,4,8,8,8,8,16,64	199
2,2,2,2,8,8,8,8,16,16,16,16,16	199
8,8,8,12,12,24,24,24	198
4,4,4,8,8,8,12,16,24,32	197
8,12,12,16,24,24,24	197
2,6,12,12,16,24,48	195
24,24,24,48	195
2,2,2,2,4,4,4,4,4,4,8,8,8,8,8,16,16,16	194
1,1,2,2,2,4,4,8,8,8,8,8,64	189
2,2,2,2,8,8,8,8,8,8,8,8,16,16,16	186
1,1,2,2,2,8,8,16,16,64	184
2,2,8,12,32,64	184
4,4,4,4,4,4,4,4,4,4,8,8,32,32	183
2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,16,16	182
4,4,4,8,8,8,12,24,24,24	182
2,2,2,2,4,4,4,4,8,8,16,16,16,16,16	176
2,6,6,12,12,16,18,48	176
1,1,2,4,4,4,8,8,8,16,32,32	175
2,2,4,4,12,32,32,32	175
4,8,8,8,8,12,24,24,24	175
4,4,16,16,16,16,16,32	174
4,4,4,8,8,8,12,12,12,16,16,16	173
4,4,4,8,12,12,12,16,16,16,16	170
1,1,1,1,2,2,4,4,8,16,16,16,16,32	169
24,24,72	169
4,4,16,24,24,48	167
1,1,1,1,4,4,4,8,32,32,32	166
4,8,12,12,12,24,48	164
4,8,8,8,12,16,32,32	164
2,2,8,8,12,16,24,48	162
2,2,8,8,12,24,64	162
4,6,6,8,8,16,24,48	162
2,2,2,2,4,4,4,4,8,8,16,32,32	159
2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8	159
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16	158
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8	155
4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,16,16	153
1,1,1,1,2,2,4,4,8,8,8,8,8,32,32	152
1,1,2,2,2,8,8,8,8,8,8,32,32	150
1,1,1,1,2,2,4,4,8,16,16,32,32	149
1,1,2,4,4,4,8,16,16,32,32	146
4,4,4,4,4,4,4,4,4,4,8,8,8,8,16,16,16	146
4,8,8,8,12,16,64	145
1,1,1,1,4,4,4,8,8,8,16,32,32	144
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,32,32	144
2,6,48,64	144
1,1,2,2,2,4,4,4,4,4,4,8,8,8,32,32	143
1,1,2,2,2,4,4,4,4,4,4,8,8,8,64	142
2,2,2,2,2,2,4,4,4,8,8,8,8,32,32	141
2,2,4,4,4,4,4,8,8,16,64	141
8,16,96	141
24,32,32,32	139
2,6,8,8,24,24,24,24	138
4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,16	138
2,6,6,12,12,18,64	137
2,2,4,4,4,4,12,12,12,32,32	134
1,1,1,1,4,4,4,8,16,16,16,16,32	133
2,2,2,2,2,2,4,8,8,8,16,16,16,32	133
4,8,12,48,48	132
