orbit_lengths	representatives
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8	56
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,32,32	56
3,3,4,6,8,8,16,24,48	56
4,4,4,4,4,8,8,8,8,12,12,12,16,16	56
4,4,48,64	56
6,6,8,12,24,64	56
1,1,2,2,2,4,4,4,4,4,4,4,4,8,8,32,32	55
1,1,6,48,64	55
4,4,4,4,4,6,6,8,8,12,12,24,24	55
4,4,4,6,6,8,16,16,24,32	55
1,1,1,1,4,4,4,4,4,16,16,16,16,16,16	54
1,1,1,1,4,8,8,8,8,16,32,32	54
2,2,2,2,16,32,32,32	54
2,4,6,6,18,24,24,36	54
4,4,4,12,16,16,16,16,16,16	54
4,6,6,8,12,12,18,18,36	54
4,6,6,8,12,12,24,48	54
8,12,12,12,12,32,32	54
8,12,16,24,24,36	54
2,2,2,2,4,4,4,6,6,6,6,12,16,16,16,16	53
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,32,32	53
2,2,2,2,2,2,2,2,4,4,4,4,8,8,8,16,16,16,16	52
2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,16,16	52
2,54,64	52
3,3,6,27,27,54	52
4,4,4,8,12,16,24,48	52
4,4,4,8,12,24,64	52
1,3,8,12,48,48	51
2,2,2,2,4,4,4,12,12,12,32,32	51
2,2,4,4,4,4,12,12,12,16,16,32	51
4,4,24,24,32,32	51
56,64	51
6,6,12,96	51
8,8,8,12,12,12,12,24,24	51
1,1,1,1,2,2,2,2,4,8,8,8,8,8,16,16,32	50
1,1,1,1,2,2,4,4,8,8,8,8,8,16,16,32	50
1,1,1,1,2,2,4,4,8,8,8,8,8,8,8,16,16,16	50
1,1,1,1,4,4,4,8,8,8,8,8,16,16,32	49
1,1,2,4,4,4,8,32,32,32	49
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8	49
2,2,2,2,2,2,4,4,4,4,4,4,4,8,8,32,32	49
2,2,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,16	49
4,4,4,6,6,8,24,64	49
8,8,8,12,12,12,12,12,12,24	49
2,2,4,4,4,4,8,8,12,16,24,32	48
6,18,24,36,36	48
1,1,6,12,12,24,64	47
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8	47
2,2,2,2,2,2,2,2,4,4,8,8,8,8,16,16,32	47
2,2,2,2,2,2,4,4,4,4,4,8,8,8,8,8,16,16,16	47
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8	47
6,12,12,18,18,54	47
1,1,1,1,4,4,4,8,8,8,8,8,16,16,16,16	46
1,1,6,24,24,32,32	46
24,24,36,36	46
4,4,16,96	46
4,4,8,8,12,12,24,24,24	46
1,1,1,1,4,8,8,8,8,16,16,16,32	45
2,2,2,2,2,2,2,2,4,4,16,16,16,16,32	45
2,2,2,2,4,12,32,32,32	45
2,2,2,2,4,4,4,6,6,6,6,12,16,48	45
2,2,2,2,4,6,6,8,8,8,12,12,24,24	45
2,2,4,4,6,6,6,6,8,8,8,12,24,24	45
2,2,4,8,8,8,8,8,8,8,8,16,32	45
2,4,6,12,48,48	45
4,4,4,12,16,16,16,16,32	45
4,6,6,8,8,8,8,16,24,32	45
8,112	45
8,16,16,24,24,32	45
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,8,8,8,8,8,16,16	44
2,2,2,2,2,2,4,4,4,4,4,4,4,8,8,8,8,16,16,16	44
2,2,2,2,4,4,4,4,8,8,8,8,8,8,8,8,8,8,16	44
2,2,2,2,4,4,4,8,8,12,12,12,24,24	44
2,2,4,4,4,4,6,6,12,12,16,48	44
2,4,6,6,12,12,18,24,36	44
2,6,8,8,12,12,12,12,24,24	44
3,9,27,81	44
4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,16	44
4,8,12,16,16,16,16,16,16	44
2,2,2,2,2,2,2,2,4,4,4,4,4,4,8,8,16,16,16,16	43
2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,16	43
2,2,4,4,4,4,4,4,4,4,6,6,12,12,12,12,12,12	43
2,2,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8	43
2,2,4,4,4,4,6,6,12,12,16,16,16,16	43
2,6,32,32,48	43
4,4,4,4,4,4,4,4,4,4,8,8,16,16,32	43
4,4,4,4,4,4,4,8,12,12,12,12,12,12,12	43
4,4,4,8,8,12,16,32,32	43
4,4,6,6,12,16,24,24,24	43
1,1,1,1,2,2,2,2,4,8,8,8,8,8,32,32	42
1,1,1,1,4,4,4,4,4,8,8,8,8,16,16,16,16	42
1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,32,32	42
4,4,4,4,4,8,8,12,16,24,32	42
8,12,12,12,12,16,24,24	42
1,1,1,1,2,2,16,16,16,32,32	41
1,1,1,1,2,2,2,2,4,8,8,8,8,8,16,16,16,16	41
1,1,1,1,4,4,4,4,4,8,8,16,32,32	41
1,2,3,6,9,18,18,27,36	41
2,2,2,2,2,2,2,2,4,4,4,4,8,8,8,8,8,8,8,16,16	41
2,6,6,6,12,12,12,64	41
4,4,4,4,4,4,8,8,16,64	41
4,4,4,4,8,8,8,8,8,8,8,8,8,32	41
4,4,8,8,24,24,48	41
8,56,56	41
1,1,1,1,2,2,4,4,4,4,4,4,4,4,8,8,16,16,16,16	40
1,1,1,1,2,2,4,4,8,8,8,16,16,16,16,16	40
1,1,1,1,4,8,8,16,16,16,16,16,16	40
1,1,2,2,2,4,4,4,4,4,4,4,4,8,8,64	40
1,1,6,6,12,12,16,18,48	40
1,5,9,30,30,45	40
2,2,6,6,8,12,12,12,12,24,24	40
2,3,3,6,12,12,16,18,48	40
2,4,6,12,12,12,12,12,24,24	40
4,4,4,6,6,8,16,24,48	40
4,4,4,8,8,8,8,12,32,32	40
4,8,12,12,36,48	40
40,80	40
6,6,8,12,16,24,24,24	40
60,60	40
1,1,2,2,2,2,2,4,8,8,8,8,8,64	39
2,2,2,2,2,2,4,4,4,4,4,8,8,8,8,8,8,8,8,8,16	39
2,2,2,2,2,2,4,4,4,8,8,16,16,16,32	39
2,2,2,2,4,4,8,8,8,8,8,8,8,8,8,8,8,16	39
2,2,4,4,12,16,16,16,16,32	39
2,6,12,12,12,12,32,32	39
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,32	39
6,6,8,8,12,24,24,32	39
1,1,1,1,2,2,4,4,4,4,4,4,4,4,8,8,32,32	38
1,1,4,6,6,9,9,12,12,12,12,36	38
2,16,18,18,18,48	38
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,16,16	38
2,2,2,2,4,4,4,12,12,12,16,16,32	38
2,2,2,2,4,4,4,4,8,8,8,8,8,8,8,8,32	38
2,4,12,12,18,18,18,36	38
4,4,4,8,8,8,8,8,12,24,32	38
1,1,2,2,2,3,3,4,4,4,6,6,6,8,8,12,24,24	37
1,1,2,2,2,4,4,4,6,6,6,6,12,32,32	37
1,3,4,4,12,96	37
2,2,2,2,2,2,2,2,4,4,4,4,4,4,8,8,8,8,8,8,16,16	37
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8	37
2,2,2,2,4,4,4,12,12,12,16,16,16,16	37
2,2,2,2,4,4,4,8,8,8,8,12,12,12,16,16	37
2,2,2,2,8,8,8,8,16,64	37
2,2,4,4,4,8,8,8,8,8,8,8,8,8,32	37
2,2,4,4,6,6,8,16,16,24,32	37
4,4,4,4,8,24,24,24,24	37
4,4,4,4,8,48,48	37
1,1,1,1,4,4,4,8,8,8,8,8,32,32	36
2,2,2,2,2,2,2,2,4,4,8,8,8,8,8,8,8,8,8,8,8,8	36
2,2,2,2,2,2,4,4,4,4,4,4,4,8,8,16,16,32	36
2,4,4,10,20,20,20,40	36
2,4,6,6,6,12,12,12,12,24,24	36
2,6,6,6,6,6,6,18,64	36
4,4,4,12,24,24,24,24	36
4,4,4,4,4,4,32,64	36
1,1,1,1,2,2,4,4,4,4,8,8,8,8,8,8,8,8,16,16	35
1,1,12,18,24,64	35
1,1,2,2,2,4,4,8,16,16,32,32	35
1,1,3,3,16,48,48	35
1,2,3,6,12,24,24,48	35
2,2,2,2,2,2,2,2,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8	35
2,4,4,6,8,24,24,24,24	35
2,6,8,8,24,24,48	35
2,6,8,8,48,48	35
4,4,12,16,36,48	35
4,4,4,8,8,8,8,8,12,12,12,16,16	35
6,6,8,12,24,32,32	35
1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,16,16,16,16	34
1,1,1,1,2,2,2,2,4,8,16,16,16,16,16,16	34
1,1,1,1,2,2,4,4,4,4,8,8,8,8,16,16,32	34
1,1,1,1,2,2,4,4,8,8,8,8,8,8,8,8,8,16,16	34
1,1,2,2,2,4,4,4,4,4,4,8,8,8,16,16,32	34
1,1,2,4,8,8,8,8,16,16,16,32	34
1,1,3,3,12,12,16,24,48	34
2,12,16,16,18,24,32	34
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,32,32	34
2,2,2,2,2,2,2,2,8,16,16,16,16,16,16	34
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,16,16	34
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,32	34
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8	34
2,2,4,4,4,4,4,4,4,4,4,8,8,16,16,32	34
2,2,4,4,4,4,8,8,12,16,16,16,24	34
2,2,4,4,8,12,16,16,16,16,24	34
2,4,6,6,6,12,12,24,24,24	34
4,20,32,64	34
4,4,4,4,4,4,4,4,4,12,12,12,12,12,12,12	34
4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16	34
4,4,4,8,8,12,16,64	34
4,4,8,12,12,24,24,32	34
6,6,18,36,54	34
8,8,24,32,48	34
1,1,1,1,2,2,8,8,16,16,16,16,16,16	33
2,2,2,2,2,2,2,2,8,16,16,16,16,32	33
2,2,2,2,2,2,2,2,8,8,8,8,8,32,32	33
2,2,2,2,4,12,16,16,16,16,32	33
2,6,6,6,6,6,6,16,18,48	33
4,4,4,8,8,8,12,16,16,16,24	33
4,8,12,12,12,12,12,48	33
4,8,8,8,12,16,16,16,16,16	33
8,8,12,12,16,16,24,24	33
8,8,8,12,12,12,12,12,12,12,12	33
1,1,2,2,2,8,8,16,16,32,32	32
1,3,3,8,9,12,12,36,36	32
16,16,16,24,48	32
2,2,2,2,2,2,4,4,4,8,8,8,8,8,8,8,8,8,8,16	32
2,2,2,2,4,4,4,4,16,16,64	32
2,2,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8	32
2,4,10,10,10,20,64	32
2,4,6,12,12,12,36,36	32
2,4,6,6,6,12,12,12,12,12,12,24	32
2,6,12,36,64	32
2,6,16,16,24,24,32	32
24,36,60	32
4,4,12,12,24,32,32	32
6,6,12,48,48	32
1,1,2,2,2,2,2,4,8,8,8,8,8,32,32	31
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,8,8,8,16,16	31
2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,16,16	31
2,2,2,2,4,12,16,16,64	31
2,2,2,6,6,6,6,6,6,12,12,18,18,18	31
2,6,6,6,8,8,12,12,12,24,24	31
4,4,8,8,8,8,8,8,8,8,8,8,8,8,16	31
6,6,8,12,16,24,48	31
1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,32,32	30
1,1,1,1,4,4,4,4,4,8,8,8,8,16,16,32	30
1,1,2,4,4,4,4,4,8,8,16,32,32	30
2,2,4,16,16,16,16,16,32	30
4,4,4,4,4,4,96	30
6,54,60	30
1,1,1,1,2,2,4,4,4,4,8,8,8,8,32,32	29
1,1,2,2,2,2,2,4,4,4,4,4,8,8,8,16,16,32	29
1,3,4,16,96	29
1,3,4,4,12,48,48	29
2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16	29
2,2,2,2,4,8,8,8,12,24,24,24	29
2,2,4,4,6,6,8,24,32,32	29
2,2,4,4,6,6,8,8,8,24,24,24	29
2,2,4,4,8,8,12,16,16,16,16,16	29
2,4,4,6,6,8,12,12,12,12,18,24	29
2,6,6,6,6,6,6,8,8,18,24,24	29
2,6,6,6,6,8,8,12,18,24,24	29
4,4,4,4,4,4,4,8,12,12,12,12,12,24	29
4,4,4,8,12,16,16,16,16,24	29
1,1,1,1,4,16,32,32,32	28
1,1,1,1,4,4,4,4,4,8,8,8,8,32,32	28
1,1,1,1,4,4,8,12,24,32,32	28
1,1,2,2,2,4,4,4,6,6,6,6,12,16,48	28
1,1,2,2,2,4,4,4,6,6,6,6,12,64	28
1,1,2,4,4,8,8,12,16,64	28
1,1,2,8,12,16,16,32,32	28
1,1,3,3,8,8,24,24,24,24	28
2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8	28
2,2,2,2,2,2,4,8,8,8,8,8,8,8,16,32	28
2,2,2,2,3,3,4,4,4,6,6,6,12,16,48	28
2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,32,32	28
2,2,8,8,8,12,16,32,32	28
2,6,12,12,16,16,24,32	28
4,4,4,12,12,12,24,48	28
40,40,40	28
1,1,1,1,2,2,2,2,4,4,4,16,16,16,16,16,16	27
1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,64	27
1,1,4,9,9,12,24,24,36	27
1,1,6,12,12,24,32,32	27
1,1,6,6,12,12,18,64	27
2,2,2,12,12,12,18,18,18,24	27
2,2,2,2,4,4,4,4,4,6,6,6,6,8,12,12,12,12,12	27
2,2,2,2,4,4,4,4,8,8,8,8,8,8,16,32	27
2,2,2,2,4,6,6,8,12,12,16,16,16,16	27
2,2,2,2,4,8,8,8,12,12,12,16,16,16	27
2,2,4,4,12,16,16,16,16,16,16	27
2,2,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8	27
2,2,4,4,4,4,4,4,4,8,8,8,8,8,16,32	27
2,2,4,4,6,6,8,8,8,12,12,16,16,16	27
2,2,4,4,6,6,8,8,8,8,8,12,12,16,16	27
2,2,6,6,8,8,16,16,24,32	27
2,3,3,3,3,4,12,12,12,12,18,36	27
2,4,4,10,10,10,20,20,20,20	27
2,6,6,12,12,16,16,18,32	27
2,6,6,6,6,6,6,18,32,32	27
20,24,36,40	27
3,3,6,9,9,18,18,54	27
4,20,36,60	27
4,4,4,8,8,12,16,16,16,16,16	27
4,6,20,30,60	27
6,10,18,20,30,36	27
6,20,30,64	27
1,1,1,1,2,2,2,2,4,8,16,16,16,16,32	26
1,1,12,12,12,18,64	26
1,1,2,2,2,16,16,16,32,32	26
1,1,2,2,2,4,4,8,8,8,16,16,16,32	26
1,1,2,4,4,4,4,4,8,8,8,8,32,32	26
2,18,18,18,64	26
2,2,2,2,2,2,2,2,4,4,8,8,8,8,32,32	26
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,16,16,16,16	26
2,2,2,2,2,2,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8	26
2,2,4,16,16,16,64	26
4,4,4,6,6,8,8,8,16,24,32	26
1,1,1,1,2,2,8,8,8,8,8,8,8,8,16,16,16	25
1,1,54,64	25
1,2,9,27,27,54	25
2,2,2,2,2,2,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,16	25
2,2,2,2,4,4,4,8,8,12,12,12,16,16,16	25
2,2,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16	25
2,2,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8	25
2,2,4,4,4,4,4,4,8,12,12,12,12,12,24	25
4,4,4,4,4,8,8,8,8,12,24,32	25
4,4,4,4,8,96	25
6,6,8,8,8,12,24,24,24	25
1,1,1,1,2,2,4,4,4,4,4,4,4,4,8,8,8,8,8,8,16,16	24
1,1,1,1,2,2,8,8,8,8,16,16,16,32	24
2,2,2,12,12,12,12,12,18,18,18	24
2,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,8,12,12,12,12	24
2,2,2,2,2,2,4,4,4,8,8,16,32,32	24
2,2,2,2,4,12,16,16,16,16,16,16	24
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,16,16,32	24
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8	24
2,2,4,4,8,8,8,12,16,16,16,24	24
2,2,6,6,8,8,24,32,32	24
2,2,6,6,8,8,8,8,24,24,24	24
2,4,6,12,12,24,24,36	24
2,6,12,16,18,18,48	24
4,4,4,4,4,4,4,4,4,4,4,4,4,4,64	24
4,4,4,8,8,8,8,8,8,8,12,12,12,16	24
6,30,30,54	24
1,1,1,1,2,2,4,12,16,16,32,32	23
1,1,1,1,4,4,4,4,4,8,8,16,16,16,32	23
2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8	23
2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8	23
2,2,2,2,2,2,2,2,2,2,4,8,8,8,8,16,16,16,16	23
2,2,2,2,2,2,2,2,4,4,16,16,32,32	23
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8	23
2,2,2,2,2,2,8,12,16,16,24,32	23
2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,8,8,16,16,16	23
2,2,2,2,4,4,4,6,6,8,8,12,12,24,24	23
2,2,2,6,6,6,6,6,6,6,6,6,6,18,18,18	23
2,2,4,4,4,4,4,32,64	23
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,16,16,16	23
2,2,4,4,4,4,6,6,12,12,16,16,32	23
2,2,4,4,4,4,6,6,8,8,8,8,12,12,16,16	23
2,2,4,4,8,8,8,8,8,12,24,32	23
2,2,8,12,16,16,16,16,16,16	23
2,4,4,6,8,12,12,12,12,24,24	23
3,36,81	23
4,4,4,4,4,4,4,4,8,8,8,8,8,16,32	23
4,4,4,8,8,8,8,12,16,16,16,16	23
1,1,1,1,2,2,2,2,4,4,4,4,4,8,8,8,8,8,8,8,16,16	22
1,1,1,1,2,2,2,2,4,4,4,8,8,8,8,8,8,8,8,16,16	22
1,1,1,1,4,4,4,4,4,8,8,16,16,16,16,16	22
1,1,2,4,4,8,8,12,16,32,32	22
1,5,9,45,60	22
12,12,12,12,24,24,24	22
2,2,2,2,2,2,2,2,8,8,8,8,8,16,16,32	22
2,2,2,2,2,2,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8	22
2,2,6,6,6,6,8,12,24,24,24	22
2,4,6,6,6,6,6,6,12,12,18,36	22
2,6,6,6,12,12,12,32,32	22
4,4,4,4,4,4,4,4,4,4,4,4,8,16,16,32	22
4,4,6,6,6,6,8,8,12,12,12,12,24	22
4,8,8,8,12,16,16,16,32	22
6,6,18,18,18,54	22
1,1,1,1,2,2,2,2,4,4,4,8,8,8,8,16,16,32	21
1,1,1,1,2,2,4,4,4,4,8,8,8,8,8,8,16,16,16	21
1,1,1,1,4,8,8,8,8,16,16,16,16,16	21
1,1,2,2,2,4,4,4,4,8,8,8,8,32,32	21
1,1,2,4,4,4,4,4,8,8,16,64	21
1,1,3,3,4,12,48,48	21
2,2,2,2,16,16,16,16,16,32	21
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,16,16,16,16	21
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	21
2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8	21
2,2,2,2,2,2,4,4,4,8,8,8,8,64	21
2,2,2,2,2,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8	21
2,2,2,6,6,6,6,12,12,12,18,18,18	21
2,2,4,4,4,4,8,8,8,8,12,12,12,16,16	21
4,20,96	21
4,4,4,4,4,4,4,8,12,12,12,16,16,16	21
1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8	20
1,1,1,1,2,2,4,4,4,4,4,4,4,4,8,8,8,8,16,16,16	20
1,1,2,3,3,6,8,12,12,12,12,24,24	20
1,1,2,4,4,4,8,16,16,16,16,16,16	20
1,1,2,4,4,4,8,8,8,8,8,16,16,16,16	20
1,1,3,3,6,8,8,12,12,18,24,24	20
1,1,3,3,8,8,12,12,24,24,24	20
1,2,3,3,3,9,9,9,18,18,18,27	20
1,3,4,8,8,96	20
12,12,12,20,20,20,24	20
2,2,12,20,24,30,30	20
2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,8,16,16,16,16	20
2,2,2,2,2,2,2,2,8,16,16,32,32	20
2,2,2,2,4,4,4,4,4,6,6,8,12,12,12,12,24	20
2,2,2,2,4,4,4,6,6,12,12,16,16,32	20
2,2,2,2,4,4,4,6,6,12,12,32,32	20
2,2,4,4,6,6,8,8,8,16,24,32	20
2,3,3,6,6,6,6,6,16,18,48	20
2,4,10,20,20,32,32	20
2,4,12,12,12,12,12,18,36	20
2,6,6,6,12,16,24,48	20
2,6,6,6,12,24,64	20
4,4,12,12,12,12,16,48	20
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8	20
4,4,4,8,8,8,8,12,64	20
4,6,6,8,12,12,12,12,48	20
4,8,12,24,72	20
6,6,18,18,36,36	20
6,6,8,12,12,12,16,24,24	20
1,1,1,1,1,1,1,1,4,4,8,8,8,8,8,16,16,16,16	19
1,1,1,1,2,2,2,2,4,4,4,8,8,8,8,32,32	19
1,1,1,1,8,12,16,16,32,32	19
1,1,2,2,2,3,3,4,4,4,6,8,8,12,12,12,12,24	19
1,1,2,2,2,4,12,16,16,64	19
1,1,2,2,2,4,6,6,8,12,12,16,16,32	19
1,1,2,3,3,4,4,4,4,6,6,6,8,8,12,12,12,24	19
1,1,2,4,4,12,16,16,64	19
1,1,2,4,4,12,32,64	19
1,1,2,4,4,6,6,8,12,12,16,16,32	19
1,2,3,3,6,6,6,9,12,18,18,36	19
1,3,15,20,36,45	19
12,20,24,64	19
12,36,72	19
2,2,2,2,2,2,12,16,16,32,32	19
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,8,8,8,8,8,8,8,8	19
2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,8,32,32	19
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,64	19
2,2,2,2,4,4,4,6,6,8,8,12,12,12,12,24	19
2,2,2,2,4,6,6,8,12,12,16,16,32	19
2,2,2,2,4,8,12,16,16,16,16,24	19
2,2,4,4,4,4,6,6,6,6,8,8,12,12,12,24	19
2,2,8,8,8,8,12,16,16,16,24	19
4,4,4,12,12,12,36,36	19
4,4,4,6,6,8,8,8,16,16,16,24	19
6,16,20,30,48	19
1,1,1,1,2,2,2,2,4,4,4,16,16,16,16,32	18
1,1,1,1,2,2,4,4,4,4,8,8,16,16,16,32	18
1,1,1,1,4,4,12,32,32,32	18
1,1,16,18,36,48	18
1,1,18,36,64	18
1,1,2,4,4,4,4,4,8,8,8,8,64	18
1,1,4,9,9,24,36,36	18
1,3,20,96	18
2,2,12,12,12,20,30,30	18
2,2,2,2,2,2,2,2,4,4,4,4,8,8,8,32,32	18
2,2,2,2,2,2,2,2,4,4,4,4,8,8,8,8,8,16,16,16	18
2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8	18
2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,16	18
2,2,4,4,4,4,4,4,6,6,8,12,12,12,12,24	18
3,3,3,3,27,27,27,27	18
3,3,6,8,12,16,24,48	18
4,4,4,4,4,4,24,24,24,24	18
4,4,4,4,4,4,48,48	18
8,12,12,12,12,16,16,16,16	18
1,1,1,1,1,1,1,1,8,8,8,8,8,8,16,16,16,16	17
1,1,1,1,2,2,2,2,2,2,4,4,8,8,8,8,16,16,16,16	17
1,1,1,1,2,2,8,8,8,8,16,32,32	17
1,1,1,3,3,3,12,24,24,24,24	17
1,1,12,12,12,18,32,32	17
1,1,12,18,24,32,32	17
1,1,2,2,2,4,4,4,4,8,8,8,8,64	17
1,1,2,2,2,8,8,8,8,16,64	17
1,1,2,4,16,16,16,32,32	17
1,7,112	17
12,12,12,12,24,48	17
16,16,24,64	17
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,32,32	17
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8	17
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,16	17
2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,6,6,12,12,12,12	17
2,2,2,2,2,2,4,4,4,8,8,8,8,8,8,8,8,32	17
2,2,2,2,2,2,8,8,8,8,12,32,32	17
2,2,2,2,4,4,4,12,12,12,16,48	17
2,2,2,2,4,4,4,12,12,12,64	17
4,20,32,32,32	17
4,4,32,32,48	17
4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,16,16,16	17
1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,8,8,8,8,8,8,16,16	16
1,1,1,1,2,2,2,2,4,8,8,8,8,8,8,8,8,8,16,16	16
1,1,1,1,2,2,4,4,4,4,4,4,8,8,8,8,8,16,16,16	16
1,1,1,1,2,2,4,4,4,6,6,6,6,12,32,32	16
1,1,1,1,2,2,4,4,4,6,6,6,6,8,8,12,24,24	16
1,1,1,1,4,4,6,6,8,12,12,32,32	16
1,1,1,1,4,4,6,6,8,8,8,12,12,24,24	16
1,1,1,1,4,4,8,8,8,12,16,24,32	16
1,1,1,1,8,8,12,16,16,24,32	16
1,1,1,1,8,8,12,24,32,32	16
1,1,2,4,4,4,4,4,16,16,32,32	16
1,1,2,4,4,4,4,6,6,12,12,16,48	16
1,1,2,4,4,4,4,6,6,12,12,64	16
1,1,2,4,4,4,8,8,8,16,16,16,16,16	16
1,1,2,4,4,8,12,16,24,48	16
1,1,2,4,4,8,12,24,64	16
1,1,2,4,8,8,16,16,16,16,32	16
1,1,24,30,64	16
1,1,6,32,32,48	16
1,3,5,6,10,15,20,30,30	16
10,10,12,24,24,40	16
10,50,60	16
12,12,12,12,12,12,24,24	16
12,12,16,32,48	16
2,12,12,30,64	16
2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,8,16,16,16,16	16
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,16,16,32	16
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,16	16
2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,8,16,16,16,16	16
2,2,2,2,2,2,4,4,8,8,8,8,12,12,12,16,16	16
2,2,2,2,3,3,3,3,4,4,4,6,6,8,8,12,24,24	16
2,2,2,2,4,4,4,6,6,12,12,16,16,16,16	16
2,2,20,32,32,32	16
2,2,3,3,3,3,4,4,8,8,8,12,12,24,24	16
2,2,3,3,4,4,4,4,6,12,12,16,48	16
2,2,4,4,4,4,6,6,8,8,12,12,16,16,16	16
2,24,30,32,32	16
2,4,4,10,10,10,20,20,40	16
2,4,6,12,12,12,18,18,36	16
