rep_id	order	composition_factor_count	is_abelian	is_nonabelian_simple	structure
733	1440	5	false	false	
734	1440	5	false	false	
735	1440	5	false	false	
736	1440	5	false	false	
737	1440	5	false	false	
738	1512	2	false	false	
739	1512	2	false	false	
741	480	4	false	false	
742	480	4	false	false	
744	720	4	false	false	
745	720	4	false	false	
748	1200	4	false	false	
749	1200	4	false	false	
751	1440	3	false	false	
752	1440	5	false	false	
753	1512	2	false	false	
759	2160	3	false	false	
760	2160	3	false	false	
761	2160	3	false	false	
762	2160	5	false	false	
763	2160	5	false	false	
764	2160	5	false	false	
765	2160	5	false	false	
766	2160	5	false	false	
767	2160	5	false	false	
768	2160	5	false	false	
769	2160	5	false	false	
770	2160	5	false	false	
771	2160	5	false	false	
792	2880	4	false	false	
793	2880	4	false	false	
794	2880	4	false	false	
795	2880	4	false	false	
796	2880	4	false	false	
797	2880	4	false	false	
805	3600	2	false	false	
806	3600	2	false	false	
807	3840	7	false	false	
808	3840	7	false	false	
809	4080	1	false	true	PSL(2,16)
810	4080	1	false	true	PSL(2,16)
811	1440	5	false	false	
814	2400	5	false	false	
815	2880	4	false	false	
816	2880	6	false	false	
821	4320	4	false	false	
822	4320	4	false	false	
823	4320	4	false	false	
824	4320	4	false	false	
825	4320	4	false	false	
826	4320	4	false	false	
827	4320	4	false	false	
828	4320	4	false	false	
829	4320	4	false	false	
862	5040	2	false	false	
863	5040	2	false	false	
864	5040	2	false	false	
865	6480	4	false	false	
866	6480	4	false	false	
867	6480	4	false	false	
868	6480	4	false	false	
869	6480	4	false	false	
877	7200	3	false	false	
892	336	2	false	false	
893	336	2	false	false	
894	336	2	false	false	
901	480	4	false	false	
921	672	3	false	false	
928	1008	3	false	false	
929	1008	3	false	false	
930	1008	3	false	false	
931	1008	3	false	false	
932	1008	2	false	false	
968	1440	3	false	false	
969	1440	3	false	false	
970	1440	3	false	false	
971	1440	3	false	false	
972	1440	5	false	false	
973	1512	2	false	false	
989	1920	6	false	false	
990	1920	6	false	false	
994	2400	5	false	false	
998	2880	6	false	false	
999	2880	6	false	false	
1000	2880	6	false	false	
1001	2880	6	false	false	
1002	2880	6	false	false	
1003	2880	6	false	false	
1004	2880	6	false	false	
1005	2880	6	false	false	
1006	2880	6	false	false	
1007	2880	6	false	false	
1008	2880	6	false	false	
1009	2880	6	false	false	
1010	2880	6	false	false	
1021	7200	3	false	false	
1022	7200	3	false	false	
1023	7200	3	false	false	
1024	7560	2	false	false	
1029	720	2	false	false	
1030	720	2	false	false	
1038	1344	4	false	false	
1039	1344	4	false	false	
1040	1344	4	false	false	
1041	1440	5	false	false	
1047	2520	1	false	true	A7
1050	2688	5	false	false	
1052	2688	5	false	false	
1055	2880	4	false	false	
1056	2880	4	false	false	
1060	3840	7	false	false	
1071	4032	5	false	false	
1073	4032	5	false	false	
1074	4320	4	false	false	
1075	4320	4	false	false	
1076	4320	4	false	false	
1077	4320	4	false	false	
1078	4320	4	false	false	
1079	4320	4	false	false	
1080	4320	4	false	false	
1081	4320	4	false	false	
1082	4320	4	false	false	
1083	4320	4	false	false	
1084	4320	4	false	false	
1085	4320	4	false	false	
1094	5760	5	false	false	
1095	5760	5	false	false	
1096	5760	5	false	false	
1097	5760	5	false	false	
1098	5760	5	false	false	
1099	5760	5	false	false	
1100	5760	5	false	false	
1101	5760	5	false	false	
1102	5760	5	false	false	
1103	5760	5	false	false	
1104	5760	5	false	false	
1105	5760	5	false	false	
1106	5760	5	false	false	
1107	5760	5	false	false	
1108	5760	5	false	false	
1109	5760	7	false	false	
1110	5760	7	false	false	
1111	5760	7	false	false	
1127	7680	8	false	false	
1128	7680	8	false	false	
1129	8640	5	false	false	
1130	8640	5	false	false	
1131	8640	5	false	false	
1132	8640	5	false	false	
1133	8640	5	false	false	
1134	8640	5	false	false	
1135	8640	5	false	false	
1136	10752	7	false	false	
1137	11520	8	false	false	
1138	11520	8	false	false	
1139	11520	8	false	false	
1140	11520	8	false	false	
1141	11520	8	false	false	
1142	11520	8	false	false	
1143	11520	8	false	false	
1144	11520	8	false	false	
1145	11520	8	false	false	
1150	2688	5	false	false	
1159	5760	7	false	false	
1160	5760	7	false	false	
1161	5760	7	false	false	
1162	5760	7	false	false	
1164	7680	8	false	false	
1165	7680	8	false	false	
1166	7680	8	false	false	
1167	8640	7	false	false	
1168	8640	7	false	false	
1175	11520	8	false	false	
1176	11520	6	false	false	
1177	12096	2	false	false	
1178	12096	2	false	false	
1179	12096	2	false	false	
1194	17280	6	false	false	
1195	17280	6	false	false	
1196	17280	6	false	false	
1197	17280	6	false	false	
1198	17280	6	false	false	
1199	17280	6	false	false	
1200	17280	6	false	false	
1201	17280	6	false	false	
1202	17280	6	false	false	
1203	17280	6	false	false	
1204	17280	6	false	false	
1205	17280	6	false	false	
1206	17280	6	false	false	
1207	18144	2	false	false	
1251	20160	1	false	true	A8
1253	23040	7	false	false	
1254	23040	7	false	false	
1255	23040	7	false	false	
1256	23040	7	false	false	
1257	23040	7	false	false	
1258	23040	7	false	false	
1259	23040	7	false	false	
1260	23040	7	false	false	
1261	23040	7	false	false	
1274	25920	6	false	false	
1275	25920	6	false	false	
1276	25920	6	false	false	
1277	25920	6	false	false	
1278	25920	6	false	false	
1279	25920	6	false	false	
1296	1008	2	false	false	
1297	1008	2	false	false	
1303	10752	7	false	false	
1304	10752	7	false	false	
1305	10752	7	false	false	
1306	10752	7	false	false	
1307	10752	7	false	false	
1308	10752	7	false	false	
1310	10752	7	false	false	
1311	10752	7	false	false	
1312	10752	7	false	false	
1315	14400	5	false	false	
1316	14400	4	false	false	
1340	30720	10	false	false	
1341	30720	10	false	false	
1344	34560	7	false	false	
1368	40320	2	false	false	
1369	40320	2	false	false	
1370	40320	2	false	false	
1371	43200	3	false	false	
1372	43200	3	false	false	
1373	43200	3	false	false	
1374	43200	3	false	false	
1375	43200	3	false	false	
1376	43200	3	false	false	
1377	46080	10	false	false	
1378	46080	10	false	false	
1379	46080	10	false	false	
1380	46080	10	false	false	
1381	46080	10	false	false	
1382	46080	10	false	false	
1383	46080	10	false	false	
1384	46080	10	false	false	
1385	46080	10	false	false	
1386	46080	10	false	false	
1394	51840	2	false	false	
1395	51840	2	false	false	
1396	51840	2	false	false	
1397	60480	2	false	false	
1398	1512	2	false	false	
1399	21504	8	false	false	
1400	21504	8	false	false	
1403	21504	8	false	false	
1420	61440	11	false	false	
1421	61440	11	false	false	
1422	61440	11	false	false	
1423	61440	11	false	false	
1458	77760	2	false	false	
1459	86016	10	false	false	
1462	86016	10	false	false	
1463	92160	9	false	false	
1464	92160	9	false	false	
1465	92160	9	false	false	
1466	92160	9	false	false	
1467	92160	9	false	false	
1468	92160	9	false	false	
1469	92160	9	false	false	
