rep_id	order	matrix_offset	generator_count	generator_orders	matrix_bytes
650001	64	0	6	2,2,2,2,2,2	48
650002	64	6	6	2,4,4,2,2,2	48
650003	64	12	6	2,4,2,2,2,2	48
650004	64	18	6	2,2,4,4,2,2	48
650005	64	24	6	2,2,4,4,2,2	48
650006	64	30	6	2,2,4,2,2,2	48
650007	64	36	6	2,4,2,2,2,2	48
650008	64	42	6	2,4,2,2,2,2	48
650009	64	48	6	2,4,4,2,2,2	48
650010	64	54	6	2,2,4,2,2,2	48
650011	64	60	6	2,4,4,2,2,2	48
650012	64	66	6	2,4,4,2,2,2	48
650013	64	72	6	2,4,4,2,2,2	48
650014	64	78	6	2,2,4,2,2,2	48
650015	64	84	6	2,2,2,2,2,2	48
650016	64	90	6	2,2,2,4,2,2	48
650017	64	96	6	2,2,4,4,2,2	48
650018	64	102	6	4,2,4,4,2,2	48
650019	64	108	6	2,4,2,2,2,2	48
650020	64	114	6	2,4,2,2,2,2	48
650021	64	120	6	2,4,4,2,2,2	48
650022	64	126	6	2,4,4,2,2,2	48
650023	64	132	6	2,2,2,4,4,2	48
650024	64	138	6	2,2,2,4,4,2	48
650025	64	144	6	2,4,4,2,2,2	48
650026	64	150	6	2,4,4,2,2,2	48
650027	64	156	6	4,4,4,2,2,2	48
650028	64	162	6	2,4,2,2,2,2	48
650029	64	168	6	4,4,2,2,2,2	48
650030	64	174	6	2,4,4,2,2,2	48
650031	64	180	6	2,4,4,2,2,2	48
650032	64	186	6	2,4,4,2,2,2	48
650033	64	192	6	2,2,4,2,2,2	48
650034	64	198	6	2,4,4,2,2,2	48
650035	64	204	6	2,4,4,2,2,2	48
650036	64	210	6	2,4,4,2,2,2	48
650037	64	216	6	4,4,2,2,2,2	48
650038	64	222	6	2,4,2,2,2,2	48
650039	64	228	6	4,4,2,2,2,2	48
650040	64	234	6	2,4,2,2,2,2	48
650041	64	240	6	2,4,4,2,2,2	48
650042	64	246	6	2,4,4,2,2,2	48
650043	64	252	6	2,4,4,2,2,2	48
650044	64	258	6	4,4,4,2,2,2	48
650045	64	264	6	4,2,4,2,2,2	48
650046	64	270	6	4,2,4,2,2,2	48
650047	64	276	6	2,4,4,2,2,2	48
650048	64	282	6	2,4,2,2,2,2	48
650049	64	288	6	2,2,4,4,2,2	48
650050	64	294	6	2,4,2,2,2,2	48
650051	64	300	6	2,2,2,2,2,2	48
650052	64	306	6	2,2,4,2,2,2	48
650053	64	312	6	2,2,2,2,2,2	48
650054	64	318	6	2,2,2,2,2,2	48
650055	64	324	6	2,2,4,2,2,2	48
650056	64	330	6	2,2,2,2,2,2	48
650057	64	336	6	2,2,2,2,2,2	48
650058	64	342	6	2,2,4,2,2,2	48
650059	64	348	6	2,2,2,4,2,2	48
650060	64	354	6	2,2,4,2,2,2	48
650061	64	360	6	2,4,4,2,2,2	48
650062	64	366	6	2,4,4,2,2,2	48
650063	64	372	6	2,2,4,4,2,2	48
650064	64	378	6	2,2,2,4,2,2	48
650065	64	384	6	2,2,2,4,2,2	48
650066	64	390	6	4,4,2,2,2,2	48
650067	64	396	6	4,4,2,2,2,2	48
650068	64	402	6	2,2,2,2,2,2	48
650069	64	408	6	2,2,4,4,2,2	48
650070	64	414	6	4,4,4,2,2,2	48
650071	64	420	6	2,4,4,2,2,2	48
650072	64	426	6	2,4,4,2,2,2	48
650073	64	432	6	2,4,4,2,2,2	48
650074	64	438	6	2,4,4,2,2,2	48
650075	64	444	6	2,4,4,2,2,2	48
650076	64	450	6	2,4,4,2,2,2	48
650077	64	456	6	2,4,4,2,2,2	48
650078	64	462	6	4,2,4,2,2,2	48
650079	64	468	6	2,4,4,2,2,2	48
650080	64	474	6	2,2,2,4,4,2	48
650081	64	480	6	2,2,2,4,4,2	48
650082	64	486	6	2,4,4,2,4,2	48
650083	64	492	6	4,4,2,2,2,2	48
650084	64	498	6	2,4,4,2,2,2	48
650085	64	504	6	2,4,4,2,2,2	48
650086	64	510	6	2,2,2,2,2,2	48
650087	64	516	6	2,2,4,2,2,2	48
650088	64	522	6	4,4,4,2,2,2	48
650089	64	528	6	4,4,2,2,2,2	48
650090	64	534	6	2,4,4,2,2,2	48
650091	64	540	6	4,2,4,2,2,2	48
650092	64	546	6	2,4,2,2,2,2	48
650093	64	552	6	2,4,4,2,2,2	48
650094	64	558	6	2,2,4,2,2,2	48
650095	64	564	6	2,4,4,2,2,2	48
650096	64	570	6	2,4,4,2,2,2	48
650097	64	576	6	2,2,4,2,2,2	48
650098	64	582	6	2,2,2,4,2,2	48
650099	64	588	6	2,2,2,4,2,2	48
650100	64	594	6	2,2,2,2,2,2	48
650101	64	600	6	2,2,2,2,2,2	48
650102	64	606	6	4,4,2,2,2,2	48
650103	64	612	6	4,4,2,4,2,2	48
650104	64	618	6	2,2,4,4,4,2	48
650105	64	624	6	4,2,4,4,4,2	48
650106	64	630	6	2,4,2,4,2,2	48
650107	64	636	6	2,2,4,4,2,2	48
650108	64	642	6	4,4,4,2,4,2	48
650109	64	648	6	4,4,2,4,4,2	48
650110	64	654	6	4,4,2,2,4,2	48
650111	64	660	6	2,4,4,2,4,2	48
650112	64	666	6	4,4,4,4,2,2	48
650113	64	672	6	4,4,2,2,2,2	48
650114	64	678	6	4,2,2,2,2,2	48
650115	64	684	6	4,4,2,2,2,2	48
650116	64	690	6	2,4,2,2,2,2	48
650117	64	696	6	2,4,4,4,4,2	48
650118	64	702	6	2,2,4,4,4,2	48
650119	64	708	6	4,4,2,2,2,2	48
650120	64	714	6	4,4,2,2,2,2	48
650121	64	720	6	4,2,2,2,2,2	48
650122	64	726	6	4,4,2,2,2,2	48
650123	64	732	6	4,4,2,2,2,2	48
650124	64	738	6	4,2,2,2,2,2	48
650125	64	744	6	4,2,4,2,2,2	48
650126	64	750	6	4,4,2,2,2,2	48
650127	64	756	6	4,4,2,2,2,2	48
650128	64	762	6	4,4,4,2,2,2	48
650129	64	768	6	4,2,2,2,4,2	48
650130	64	774	6	4,4,2,2,4,2	48
650131	64	780	6	4,4,2,2,2,2	48
650132	64	786	6	4,4,2,2,2,2	48
650133	64	792	6	4,4,2,2,2,2	48
650134	64	798	6	2,4,4,2,2,2	48
650135	64	804	6	2,4,4,2,2,2	48
650136	64	810	6	4,4,4,2,2,2	48
650137	64	816	6	4,4,2,2,2,2	48
650138	64	822	6	4,4,2,2,2,2	48
650139	64	828	6	2,4,4,2,2,2	48
650140	64	834	6	4,2,4,2,2,2	48
650141	64	840	6	2,4,2,2,2,2	48
650142	64	846	6	4,4,2,2,2,2	48
650143	64	852	6	4,4,2,2,2,2	48
650144	64	858	6	4,4,2,2,2,2	48
650145	64	864	6	4,4,4,2,2,2	48
650146	64	870	6	4,4,4,2,2,2	48
650147	64	876	6	4,4,2,2,2,2	48
650148	64	882	6	2,4,4,2,2,2	48
650149	64	888	6	2,4,2,2,2,2	48
650150	64	894	6	2,4,2,2,2,2	48
650151	64	900	6	4,4,2,2,2,2	48
650152	64	906	6	4,4,2,2,2,2	48
650153	64	912	6	4,4,2,2,2,2	48
650154	64	918	6	2,4,2,2,2,2	48
650155	64	924	6	4,4,2,2,2,2	48
