rep_id	order	matrix_offset	generator_count	generator_orders	matrix_bytes
550001	32	0	5	2,2,4,4,2	40
550002	32	5	5	2,2,2,2,2	40
550003	32	10	5	4,2,2,2,2	40
550004	32	15	5	4,2,4,2,2	40
550005	32	20	5	2,2,2,2,2	40
550006	32	25	5	4,4,2,2,2	40
550007	32	30	5	4,4,4,2,2	40
550008	32	35	5	2,2,2,4,2	40
550009	32	40	5	2,4,2,2,2	40
550010	32	45	5	2,2,2,4,2	40
550011	32	50	5	4,2,2,2,2	40
550012	32	55	5	4,2,4,2,2	40
550013	32	60	5	4,2,2,2,2	40
550014	32	65	5	2,4,2,2,2	40
550015	32	70	5	4,4,4,2,2	40
550016	32	75	5	4,4,2,2,2	40
550017	32	80	5	4,2,2,2,2	40
550018	32	85	5	4,2,4,2,2	40
550019	32	90	5	2,2,2,2,2	40
550020	32	95	5	4,4,2,2,2	40
550021	32	100	5	4,4,4,2,2	40
550022	32	105	5	2,4,2,2,2	40
550023	32	110	5	2,2,4,2,2	40
550024	32	115	5	2,4,2,2,2	40
550025	32	120	5	2,2,4,2,2	40
550026	32	125	5	2,2,4,2,2	40
550027	32	130	5	2,2,4,2,2	40
550028	32	135	5	2,2,2,2,2	40
550029	32	140	5	2,4,2,2,2	40
550030	32	145	5	2,4,2,2,2	40
550031	32	150	5	2,4,2,2,2	40
550032	32	155	5	2,2,4,2,2	40
550033	32	160	5	2,2,2,4,2	40
550034	32	165	5	2,2,2,4,2	40
550035	32	170	5	2,2,2,2,2	40
550036	32	175	5	2,4,2,2,2	40
550037	32	180	5	2,2,2,2,2	40
550038	32	185	5	2,2,2,2,2	40
550039	32	190	5	2,2,2,2,2	40
550040	32	195	5	2,4,2,2,2	40
550041	32	200	5	4,2,4,2,2	40
550042	32	205	5	4,2,2,2,2	40
550043	32	210	5	4,2,2,2,2	40
550044	32	215	5	2,4,2,4,2	40
550045	32	220	5	2,2,4,2,2	40
550046	32	225	5	4,2,4,2,2	40
550047	32	230	5	2,2,2,4,2	40
550048	32	235	5	2,4,2,2,2	40
550049	32	240	5	2,2,4,2,2	40
550050	32	245	5	2,2,2,4,2	40
550051	32	250	5	2,2,2,2,2	40
550052	32	255	5	2,2,4,2,2	40
550053	32	260	5	4,2,4,2,2	40
550054	32	265	5	4,2,4,2,2	40
550055	32	270	5	4,2,2,2,2	40
550056	32	275	5	4,2,2,2,2	40
550057	32	280	5	4,4,4,2,2	40
550058	32	285	5	4,4,4,2,2	40
550059	32	290	5	4,2,4,2,2	40
550060	32	295	5	4,4,2,2,2	40
550061	32	300	5	4,2,4,2,2	40
550062	32	305	5	4,2,2,2,2	40
550063	32	310	5	4,2,4,2,2	40
550064	32	315	5	4,2,4,2,2	40
550065	32	320	5	4,2,4,2,2	40
550066	32	325	5	4,2,4,2,2	40
550067	32	330	5	2,2,4,2,2	40
550068	32	335	5	2,4,4,2,2	40
550069	32	340	5	4,2,2,2,2	40
550070	32	345	5	2,4,2,2,2	40
550071	32	350	5	4,4,2,2,2	40
550072	32	355	5	4,2,4,2,2	40
550073	32	360	5	4,4,4,2,2	40
550074	32	365	5	4,4,4,2,2	40
550075	32	370	5	4,4,4,2,2	40
550076	32	375	5	4,4,2,2,2	40
550077	32	380	5	4,2,2,2,2	40
550078	32	385	5	4,2,4,2,2	40
550079	32	390	5	4,2,2,2,2	40
550080	32	395	5	4,4,2,2,2	40
550081	32	400	5	4,4,4,2,2	40
550082	32	405	5	2,2,4,2,2	40
550083	32	410	5	2,2,2,2,2	40
550084	32	415	5	4,4,2,2,2	40
550085	32	420	5	2,4,4,2,2	40
550086	32	425	5	2,4,2,2,2	40
550087	32	430	5	2,2,4,2,2	40
550088	32	435	5	4,2,2,2,2	40
550089	32	440	5	2,2,4,2,2	40
550090	32	445	5	2,2,2,2,2	40
550091	32	450	5	4,2,4,2,2	40
550092	32	455	5	2,2,4,2,2	40
550093	32	460	5	4,2,4,2,2	40
550094	32	465	5	4,2,4,2,2	40
550095	32	470	5	4,2,4,2,2	40
550096	32	475	5	4,2,2,2,2	40
550097	32	480	5	2,4,2,2,2	40
550098	32	485	5	4,4,2,2,2	40
550099	32	490	5	4,2,2,2,2	40
550100	32	495	5	4,4,2,2,2	40
550101	32	500	5	4,2,2,2,2	40
550102	32	505	5	4,2,2,2,2	40
550103	32	510	5	2,2,2,2,2	40
550104	32	515	5	4,2,2,2,2	40
550105	32	520	5	2,4,2,2,2	40
550106	32	525	5	4,2,2,2,2	40
550107	32	530	5	2,2,2,2,2	40
550108	32	535	5	2,4,2,2,2	40
550109	32	540	5	2,2,2,2,2	40
550110	32	545	5	2,4,4,2,2	40
550111	32	550	5	4,2,4,2,2	40
550112	32	555	5	4,2,4,2,2	40
550113	32	560	5	4,4,4,2,2	40
550114	32	565	5	4,2,2,2,2	40
550115	32	570	5	2,2,4,2,2	40
550116	32	575	5	4,2,2,2,2	40
550117	32	580	5	4,4,4,2,2	40
550118	32	585	5	4,4,2,2,2	40
550119	32	590	5	2,2,2,2,2	40
550120	32	595	5	4,4,2,2,2	40
550121	32	600	5	2,2,4,2,2	40
550122	32	605	5	2,2,2,2,2	40
550123	32	610	5	2,4,4,2,2	40
550124	32	615	5	2,4,2,2,2	40
550125	32	620	5	2,4,2,2,2	40
550126	32	625	5	2,2,2,2,2	40
550127	32	630	5	2,2,4,2,2	40
550128	32	635	5	2,4,2,2,2	40
550129	32	640	5	2,4,4,2,2	40
550130	32	645	5	4,4,4,2,2	40
550131	32	650	5	2,4,4,2,2	40
550132	32	655	5	4,4,4,2,2	40
550133	32	660	5	4,4,4,2,2	40
550134	32	665	5	4,4,4,2,2	40
550135	32	670	5	2,2,4,2,2	40
550136	32	675	5	2,2,4,2,2	40
550137	32	680	5	4,4,2,2,2	40
550138	32	685	5	4,2,4,2,2	40
550139	32	690	5	4,2,2,2,2	40
550140	32	695	5	4,4,4,2,2	40
550141	32	700	5	4,4,2,2,2	40
550142	32	705	5	4,4,2,2,2	40
550143	32	710	5	4,2,4,2,2	40
550144	32	715	5	2,2,4,2,2	40
550145	32	720	5	4,2,4,2,2	40
550146	32	725	5	4,2,4,2,2	40
550147	32	730	5	4,2,4,2,2	40
550148	32	735	5	4,4,2,2,2	40
550149	32	740	5	4,4,2,2,2	40
550150	32	745	5	2,4,4,2,2	40
550151	32	750	5	4,2,2,2,2	40
550152	32	755	5	4,2,2,2,2	40
550153	32	760	5	4,2,4,2,2	40
550154	32	765	5	4,4,2,2,2	40
550155	32	770	5	4,2,4,2,2	40
550156	32	775	5	4,4,4,2,2	40
550157	32	780	5	4,4,4,2,2	40
550158	32	785	5	4,2,4,2,2	40
550159	32	790	5	4,4,2,2,2	40
550160	32	795	5	4,2,2,2,2	40
550161	32	800	5	2,2,2,2,2	40
550162	32	805	5	2,2,2,2,2	40
550163	32	810	5	4,4,4,2,2	40
550164	32	815	5	2,4,2,2,2	40
550165	32	820	5	2,4,2,2,2	40
550166	32	825	5	2,4,4,2,2	40
550167	32	830	5	2,4,2,2,2	40
550168	32	835	5	2,4,4,2,2	40
550169	32	840	5	2,4,4,2,2	40
550170	32	845	5	2,4,4,2,2	40
550171	32	850	5	2,2,4,2,2	40
550172	32	855	5	2,4,4,2,2	40
550173	32	860	5	2,2,2,2,2	40
550174	32	865	5	2,4,2,2,2	40
550175	32	870	5	2,4,2,2,2	40
550176	32	875	5	2,4,2,2,2	40
550177	32	880	5	2,4,2,2,2	40
550178	32	885	5	2,4,4,2,2	40
550179	32	890	5	2,2,2,2,2	40
550180	32	895	5	2,4,4,2,2	40
550181	32	900	5	2,2,2,2,2	40
550182	32	905	5	4,4,4,2,2	40
550183	32	910	5	4,4,4,2,2	40
550184	32	915	5	4,4,2,2,2	40
550185	32	920	5	4,4,4,2,2	40
