rep_id	order	matrix_offset	generator_count	generator_orders	matrix_bytes
150001	128	0	7	2,2,2,2,2,2,2	56
150002	128	7	7	2,2,2,2,2,2,2	56
150003	128	14	7	2,2,2,2,2,2,2	56
150004	128	21	7	2,2,2,2,2,2,2	56
150005	128	28	7	2,2,2,2,2,2,2	56
150006	128	35	7	2,2,2,2,2,2,2	56
150007	128	42	7	4,2,2,2,2,2,2	56
150008	128	49	7	2,2,2,2,2,2,2	56
150009	128	56	7	2,2,2,2,2,2,2	56
150010	128	63	7	2,2,2,2,2,2,2	56
150011	128	70	7	2,2,2,2,2,2,2	56
150012	128	77	7	2,2,2,2,2,2,2	56
150013	128	84	7	2,2,2,2,2,2,2	56
150014	128	91	7	2,4,2,2,2,2,2	56
150015	128	98	7	4,2,2,2,2,2,2	56
150016	128	105	7	2,2,2,2,2,2,2	56
150017	128	112	7	2,2,2,2,2,2,2	56
150018	128	119	7	2,2,2,2,2,2,2	56
150019	128	126	7	2,2,2,2,2,2,2	56
150020	128	133	7	2,2,2,2,2,2,2	56
150021	128	140	7	2,2,2,2,2,2,2	56
150022	128	147	7	2,2,2,2,2,2,2	56
150023	128	154	7	2,2,2,2,2,2,2	56
150024	128	161	7	2,2,2,2,2,2,2	56
150025	128	168	7	4,2,2,2,2,2,2	56
150026	128	175	7	2,4,2,2,2,2,2	56
150027	128	182	7	2,2,2,2,2,2,2	56
150028	128	189	7	2,2,2,2,2,2,2	56
150029	128	196	7	2,2,2,2,2,2,2	56
150030	128	203	7	2,2,2,2,2,2,2	56
150031	128	210	7	2,2,2,2,2,2,2	56
150032	128	217	7	2,2,2,2,2,2,2	56
150033	128	224	7	2,2,2,2,2,2,2	56
150034	128	231	7	2,2,2,2,2,2,2	56
150035	128	238	7	4,2,2,2,2,2,2	56
150036	128	245	7	2,2,2,2,2,2,2	56
150037	128	252	7	2,2,2,2,2,2,2	56
150038	128	259	7	2,4,2,2,2,2,2	56
150039	128	266	7	2,2,2,2,2,2,2	56
150040	128	273	7	2,2,2,2,2,2,2	56
150041	128	280	7	4,2,2,2,2,2,2	56
150042	128	287	7	2,2,2,2,2,2,2	56
150043	128	294	7	2,2,2,2,2,2,2	56
150044	128	301	7	2,2,2,2,2,2,2	56
150045	128	308	7	2,2,2,2,2,2,2	56
150046	128	315	7	2,2,2,2,2,2,2	56
150047	128	322	7	2,2,2,2,2,2,2	56
150048	128	329	7	4,2,2,2,2,2,2	56
150049	128	336	7	2,4,2,2,2,2,2	56
150050	128	343	7	2,2,2,2,2,2,2	56
150051	128	350	7	2,2,2,2,2,2,2	56
150052	128	357	7	2,4,2,2,2,2,2	56
150053	128	364	7	2,2,2,2,2,2,2	56
150054	128	371	7	2,2,2,2,2,2,2	56
150055	128	378	7	2,2,2,2,2,2,2	56
150056	128	385	7	2,2,2,2,2,2,2	56
150057	128	392	7	2,2,2,2,2,2,2	56
150058	128	399	7	2,2,2,4,2,2,2	56
150059	128	406	7	2,2,2,2,2,2,2	56
150060	128	413	7	2,4,2,4,2,2,2	56
150061	128	420	7	4,2,2,4,2,2,2	56
150062	128	427	7	2,2,4,2,2,2,2	56
150063	128	434	7	2,2,4,2,2,2,2	56
150064	128	441	7	2,2,2,2,2,2,2	56
150065	128	448	7	2,2,4,2,2,2,2	56
150066	128	455	7	2,2,4,2,2,2,2	56
150067	128	462	7	2,2,2,2,2,2,2	56
150068	128	469	7	2,4,4,2,2,2,2	56
150069	128	476	7	2,2,4,2,2,2,2	56
150070	128	483	7	2,2,2,2,2,2,2	56
150071	128	490	7	2,2,2,2,2,2,2	56
150072	128	497	7	2,2,2,2,2,2,2	56
150073	128	504	7	2,2,2,4,2,2,2	56
150074	128	511	7	2,2,2,2,2,2,2	56
150075	128	518	7	2,2,2,4,2,2,2	56
150076	128	525	7	2,2,4,2,2,2,2	56
150077	128	532	7	4,2,2,4,2,2,2	56
150078	128	539	7	2,2,2,2,2,2,2	56
150079	128	546	7	2,2,2,4,2,2,2	56
150080	128	553	7	2,2,2,2,2,2,2	56
150081	128	560	7	2,4,2,4,2,2,2	56
150082	128	567	7	2,2,2,4,2,2,2	56
150083	128	574	7	2,2,2,2,2,2,2	56
150084	128	581	7	4,2,2,2,2,2,2	56
150085	128	588	7	2,2,2,2,2,2,2	56
150086	128	595	7	2,2,2,4,2,2,2	56
150087	128	602	7	2,2,2,2,2,2,2	56
150088	128	609	7	2,2,2,2,2,2,2	56
150089	128	616	7	2,2,2,4,2,2,2	56
150090	128	623	7	2,2,2,2,2,2,2	56
150091	128	630	7	2,2,2,2,2,2,2	56
150092	128	637	7	2,2,2,2,2,2,2	56
150093	128	644	7	4,2,2,4,2,2,2	56
150094	128	651	7	2,2,2,2,2,2,2	56
150095	128	658	7	2,4,2,4,2,2,2	56
150096	128	665	7	2,2,2,2,2,2,2	56
150097	128	672	7	2,2,2,4,2,2,2	56
150098	128	679	7	2,2,4,2,2,2,2	56
150099	128	686	7	2,2,2,2,2,2,2	56
150100	128	693	7	2,2,4,2,2,2,2	56
150101	128	700	7	2,2,2,4,2,2,2	56
150102	128	707	7	2,2,2,4,2,2,2	56
150103	128	714	7	2,2,2,2,2,2,2	56
150104	128	721	7	2,2,2,2,2,2,2	56
150105	128	728	7	2,4,2,4,2,2,2	56
150106	128	735	7	2,2,2,4,2,2,2	56
150107	128	742	7	2,2,2,2,2,2,2	56
150108	128	749	7	4,2,2,4,2,2,2	56
150109	128	756	7	2,2,2,4,2,2,2	56
150110	128	763	7	2,2,2,2,2,2,2	56
150111	128	770	7	2,2,2,4,2,2,2	56
150112	128	777	7	2,2,4,2,2,2,2	56
150113	128	784	7	2,2,2,4,2,2,2	56
150114	128	791	7	2,2,4,2,2,2,2	56
150115	128	798	7	2,2,4,2,2,2,2	56
150116	128	805	7	2,2,2,4,2,2,2	56
150117	128	812	7	2,2,2,2,2,2,2	56
150118	128	819	7	2,2,2,2,2,2,2	56
150119	128	826	7	2,2,2,4,2,2,2	56
150120	128	833	7	2,2,2,2,2,2,2	56
150121	128	840	7	2,2,2,2,2,2,2	56
150122	128	847	7	2,2,2,2,2,2,2	56
150123	128	854	7	2,2,2,2,2,2,2	56
150124	128	861	7	2,2,2,4,2,2,2	56
150125	128	868	7	2,2,4,2,2,2,2	56
150126	128	875	7	2,2,2,2,2,2,2	56
150127	128	882	7	2,2,4,2,2,2,2	56
150128	128	889	7	2,2,2,2,2,2,2	56
150129	128	896	7	2,2,2,4,2,2,2	56
150130	128	903	7	2,2,4,2,2,2,2	56
150131	128	910	7	2,2,2,4,2,2,2	56
150132	128	917	7	2,2,4,2,2,2,2	56
150133	128	924	7	2,2,2,2,2,2,2	56
150134	128	931	7	2,2,2,2,2,2,2	56
150135	128	938	7	2,2,4,2,2,2,2	56
150136	128	945	7	2,2,2,4,2,2,2	56
150137	128	952	7	2,2,2,2,2,2,2	56
150138	128	959	7	2,2,4,2,2,2,2	56
150139	128	966	7	2,2,2,2,2,2,2	56
150140	128	973	7	2,2,2,2,2,2,2	56
