rep_id	order	matrix_offset	generator_count	generator_orders	matrix_bytes
350001	64	0	6	4,4,4,2,2,2	48
350002	64	6	6	2,2,2,4,2,2	48
350003	64	12	6	4,2,2,2,2,2	48
350004	64	18	6	2,4,4,2,2,2	48
350005	64	24	6	4,2,4,2,2,2	48
350006	64	30	6	2,2,2,4,2,2	48
350007	64	36	6	2,2,4,2,2,2	48
350008	64	42	6	2,2,2,4,2,2	48
350009	64	48	6	2,4,2,4,2,2	48
350010	64	54	6	4,2,2,4,2,2	48
350011	64	60	6	2,4,4,2,2,2	48
350012	64	66	6	2,2,4,4,2,2	48
350013	64	72	6	4,4,4,2,2,2	48
350014	64	78	6	2,2,2,4,2,2	48
350015	64	84	6	2,4,4,2,2,2	48
350016	64	90	6	4,2,2,4,2,2	48
350017	64	96	6	2,4,2,4,2,2	48
350018	64	102	6	2,2,2,4,2,2	48
350019	64	108	6	4,2,2,2,2,2	48
350020	64	114	6	4,2,2,2,2,2	48
350021	64	120	6	2,4,4,4,2,2	48
350022	64	126	6	4,2,4,4,2,2	48
350023	64	132	6	2,2,4,4,2,2	48
350024	64	138	6	2,2,2,2,2,2	48
350025	64	144	6	2,2,4,2,2,2	48
350026	64	150	6	4,2,2,2,2,2	48
350027	64	156	6	4,2,4,2,2,2	48
350028	64	162	6	2,2,4,4,2,2	48
350029	64	168	6	4,2,4,4,2,2	48
350030	64	174	6	4,4,4,2,2,2	48
350031	64	180	6	4,2,2,2,2,2	48
350032	64	186	6	4,4,4,2,2,2	48
350033	64	192	6	2,4,2,4,2,2	48
350034	64	198	6	2,2,2,4,2,2	48
350035	64	204	6	2,4,4,2,2,2	48
350036	64	210	6	4,2,4,2,2,2	48
350037	64	216	6	2,2,4,2,2,2	48
350038	64	222	6	2,4,2,2,2,2	48
350039	64	228	6	2,2,2,4,2,2	48
350040	64	234	6	2,2,4,2,2,2	48
350041	64	240	6	4,4,4,2,2,2	48
350042	64	246	6	4,2,2,2,2,2	48
350043	64	252	6	2,2,2,4,2,2	48
350044	64	258	6	2,2,2,2,2,2	48
350045	64	264	6	2,2,2,4,2,2	48
350046	64	270	6	4,2,4,2,2,2	48
350047	64	276	6	4,4,4,2,2,2	48
350048	64	282	6	2,4,4,2,2,2	48
350049	64	288	6	4,4,2,2,2,2	48
350050	64	294	6	2,2,2,4,2,2	48
350051	64	300	6	2,2,2,4,2,2	48
350052	64	306	6	4,2,4,2,2,2	48
350053	64	312	6	4,4,2,4,2,2	48
350054	64	318	6	2,2,4,4,2,2	48
350055	64	324	6	4,4,4,4,2,2	48
350056	64	330	6	4,2,2,2,2,2	48
350057	64	336	6	2,4,2,2,2,2	48
350058	64	342	6	4,2,4,2,2,2	48
350059	64	348	6	2,2,2,4,2,2	48
350060	64	354	6	4,4,2,4,2,2	48
350061	64	360	6	2,2,4,2,2,2	48
350062	64	366	6	4,2,4,4,2,2	48
350063	64	372	6	2,4,4,2,2,2	48
350064	64	378	6	4,2,4,4,2,2	48
350065	64	384	6	4,2,4,4,2,2	48
350066	64	390	6	2,2,4,2,2,2	48
350067	64	396	6	4,2,4,2,2,2	48
350068	64	402	6	4,2,2,4,2,2	48
350069	64	408	6	2,4,4,2,2,2	48
350070	64	414	6	4,2,4,2,2,2	48
350071	64	420	6	4,2,4,2,2,2	48
350072	64	426	6	4,4,2,4,2,2	48
350073	64	432	6	4,2,2,4,2,2	48
350074	64	438	6	2,4,2,4,2,2	48
350075	64	444	6	2,4,2,2,2,2	48
350076	64	450	6	2,2,2,4,2,2	48
350077	64	456	6	2,2,2,2,2,2	48
350078	64	462	6	2,4,4,2,2,2	48
350079	64	468	6	2,2,2,4,2,2	48
350080	64	474	6	2,4,2,2,2,2	48
350081	64	480	6	2,2,4,2,2,2	48
350082	64	486	6	2,2,4,2,2,2	48
350083	64	492	6	2,2,4,4,2,2	48
350084	64	498	6	2,4,2,2,2,2	48
350085	64	504	6	4,2,4,2,2,2	48
350086	64	510	6	2,4,2,4,2,2	48
350087	64	516	6	2,4,4,4,2,2	48
350088	64	522	6	2,2,2,4,2,2	48
350089	64	528	6	2,2,2,4,2,2	48
350090	64	534	6	2,2,4,2,2,2	48
350091	64	540	6	2,2,4,2,2,2	48
350092	64	546	6	4,2,4,4,2,2	48
350093	64	552	6	2,4,2,4,2,2	48
350094	64	558	6	2,4,4,2,2,2	48
350095	64	564	6	4,2,2,4,2,2	48
350096	64	570	6	4,4,2,4,2,2	48
350097	64	576	6	2,2,4,2,2,2	48
350098	64	582	6	4,2,4,2,2,2	48
350099	64	588	6	2,4,4,2,2,2	48
350100	64	594	6	4,2,4,2,2,2	48
350101	64	600	6	4,4,4,2,2,2	48
350102	64	606	6	4,2,4,2,2,2	48
350103	64	612	6	2,2,2,4,2,2	48
350104	64	618	6	2,2,2,4,2,2	48
350105	64	624	6	2,4,4,2,2,2	48
350106	64	630	6	4,4,2,4,2,2	48
350107	64	636	6	2,2,2,4,2,2	48
350108	64	642	6	2,4,2,2,2,2	48
350109	64	648	6	4,2,4,2,2,2	48
350110	64	654	6	4,2,2,4,2,2	48
350111	64	660	6	2,4,2,4,2,2	48
350112	64	666	6	4,2,4,2,2,2	48
350113	64	672	6	4,4,4,4,2,2	48
350114	64	678	6	4,2,4,2,2,2	48
350115	64	684	6	2,4,2,2,2,2	48
350116	64	690	6	4,2,4,4,2,2	48
350117	64	696	6	4,4,4,4,2,2	48
350118	64	702	6	2,2,2,4,2,2	48
350119	64	708	6	4,2,2,2,2,2	48
350120	64	714	6	2,2,2,2,2,2	48
350121	64	720	6	2,2,2,4,2,2	48
350122	64	726	6	2,2,2,4,2,2	48
350123	64	732	6	2,4,4,4,2,2	48
350124	64	738	6	2,2,2,4,2,2	48
350125	64	744	6	2,2,4,2,2,2	48
350126	64	750	6	2,2,2,4,2,2	48
350127	64	756	6	4,4,4,2,2,2	48
350128	64	762	6	4,2,2,4,2,2	48
350129	64	768	6	2,4,4,2,2,2	48
350130	64	774	6	2,4,4,2,2,2	48
350131	64	780	6	4,2,2,4,2,2	48
350132	64	786	6	4,2,4,4,2,2	48
350133	64	792	6	4,4,2,4,2,2	48
350134	64	798	6	4,2,2,4,2,2	48
350135	64	804	6	2,2,4,2,2,2	48
350136	64	810	6	4,4,4,2,2,2	48
350137	64	816	6	2,2,2,4,2,2	48
350138	64	822	6	4,2,2,4,2,2	48
350139	64	828	6	2,2,4,4,2,2	48
350140	64	834	6	2,2,4,2,2,2	48
350141	64	840	6	2,2,2,4,2,2	48
350142	64	846	6	4,2,2,4,2,2	48
350143	64	852	6	4,4,4,2,2,2	48
350144	64	858	6	2,2,4,2,2,2	48
350145	64	864	6	2,2,2,4,2,2	48
350146	64	870	6	4,4,2,2,2,2	48
350147	64	876	6	4,4,2,4,2,2	48
350148	64	882	6	4,2,2,2,2,2	48
350149	64	888	6	4,2,2,2,2,2	48
350150	64	894	6	2,2,4,2,2,2	48
350151	64	900	6	2,2,2,4,2,2	48
350152	64	906	6	4,2,2,4,2,2	48
350153	64	912	6	4,4,4,4,2,2	48
350154	64	918	6	2,2,2,2,2,2	48
350155	64	924	6	2,2,4,2,2,2	48
350156	64	930	6	2,4,2,4,2,2	48
350157	64	936	6	2,4,2,4,2,2	48
350158	64	942	6	4,2,2,4,2,2	48
350159	64	948	6	4,2,2,2,2,2	48
350160	64	954	6	2,4,2,2,2,2	48
350161	64	960	6	4,2,2,4,2,2	48
350162	64	966	6	2,4,4,2,2,2	48
350163	64	972	6	2,2,4,2,2,2	48
350164	64	978	6	2,4,2,2,2,2	48
350165	64	984	6	2,2,2,4,2,2	48
350166	64	990	6	4,2,2,2,2,2	48
350167	64	996	6	2,2,4,4,2,2	48
350168	64	1002	6	2,4,4,2,2,2	48
350169	64	1008	6	4,4,2,2,2,2	48
350170	64	1014	6	2,2,2,4,2,2	48
350171	64	1020	6	4,4,4,2,2,2	48
350172	64	1026	6	4,4,4,2,2,2	48
350173	64	1032	6	2,4,4,2,2,2	48
350174	64	1038	6	2,2,4,2,2,2	48
350175	64	1044	6	2,2,2,2,2,2	48
350176	64	1050	6	4,4,4,2,2,2	48
350177	64	1056	6	4,2,2,4,2,2	48
350178	64	1062	6	4,4,2,2,2,2	48
350179	64	1068	6	2,4,4,2,2,2	48
350180	64	1074	6	4,2,4,2,2,2	48
350181	64	1080	6	2,4,4,2,2,2	48
350182	64	1086	6	2,2,4,4,2,2	48
350183	64	1092	6	2,4,2,4,2,2	48
350184	64	1098	6	4,2,4,2,2,2	48
350185	64	1104	6	2,2,4,4,2,2	48
350186	64	1110	6	2,4,2,2,2,2	48
350187	64	1116	6	4,4,4,2,2,2	48
350188	64	1122	6	2,4,4,4,2,2	48
350189	64	1128	6	2,4,4,4,2,2	48
350190	64	1134	6	2,4,4,2,2,2	48
350191	64	1140	6	2,2,2,4,2,2	48
350192	64	1146	6	2,4,2,4,2,2	48
350193	64	1152	6	2,4,4,2,2,2	48
350194	64	1158	6	2,2,2,2,2,2	48
350195	64	1164	6	4,4,2,2,2,2	48
350196	64	1170	6	4,4,4,2,2,2	48
350197	64	1176	6	2,2,4,4,2,2	48
350198	64	1182	6	2,4,2,2,2,2	48
350199	64	1188	6	4,4,4,2,2,2	48
350200	64	1194	6	2,2,2,4,2,2	48
350201	64	1200	6	2,4,2,4,2,2	48
350202	64	1206	6	2,2,2,4,2,2	48
350203	64	1212	6	4,2,4,4,2,2	48
350204	64	1218	6	4,4,4,2,2,2	48
350205	64	1224	6	4,2,4,4,2,2	48
350206	64	1230	6	2,4,4,4,2,2	48
350207	64	1236	6	4,2,2,4,2,2	48
350208	64	1242	6	2,4,4,2,2,2	48
350209	64	1248	6	2,4,4,4,2,2	48
350210	64	1254	6	2,2,2,4,2,2	48
350211	64	1260	6	4,2,4,4,2,2	48
350212	64	1266	6	4,2,2,2,2,2	48
350213	64	1272	6	2,2,2,4,2,2	48
350214	64	1278	6	4,4,4,2,2,2	48
350215	64	1284	6	2,2,4,4,2,2	48
350216	64	1290	6	2,2,4,4,2,2	48
350217	64	1296	6	4,2,4,2,2,2	48
350218	64	1302	6	2,2,2,4,2,2	48
350219	64	1308	6	2,4,4,2,2,2	48
350220	64	1314	6	2,2,2,4,2,2	48
350221	64	1320	6	2,2,4,4,2,2	48
350222	64	1326	6	2,2,2,2,2,2	48
350223	64	1332	6	2,2,4,2,2,2	48
350224	64	1338	6	2,4,4,2,2,2	48
350225	64	1344	6	2,2,2,4,2,2	48
350226	64	1350	6	4,2,4,4,2,2	48
350227	64	1356	6	2,4,4,2,2,2	48
350228	64	1362	6	4,2,4,4,2,2	48
350229	64	1368	6	2,4,4,2,2,2	48
350230	64	1374	6	2,2,2,2,2,2	48
350231	64	1380	6	2,2,2,4,2,2	48
350232	64	1386	6	2,2,4,2,2,2	48
350233	64	1392	6	2,2,2,4,2,2	48
350234	64	1398	6	2,4,2,2,2,2	48
350235	64	1404	6	2,4,2,2,2,2	48
350236	64	1410	6	2,4,4,2,2,2	48
350237	64	1416	6	4,2,4,2,2,2	48
350238	64	1422	6	4,2,4,4,2,2	48
350239	64	1428	6	2,2,4,4,2,2	48
350240	64	1434	6	4,2,4,2,2,2	48
350241	64	1440	6	2,2,4,4,2,2	48
350242	64	1446	6	4,4,2,4,2,2	48
350243	64	1452	6	4,2,2,4,2,2	48
350244	64	1458	6	4,4,2,2,2,2	48
350245	64	1464	6	4,4,4,4,2,2	48
350246	64	1470	6	2,4,2,4,2,2	48
350247	64	1476	6	2,2,4,2,2,2	48
350248	64	1482	6	2,2,4,4,2,2	48
350249	64	1488	6	4,2,4,2,2,2	48
350250	64	1494	6	2,4,4,4,2,2	48
350251	64	1500	6	2,2,4,4,2,2	48
350252	64	1506	6	2,2,4,2,2,2	48
350253	64	1512	6	2,4,4,2,2,2	48
350254	64	1518	6	4,2,4,2,2,2	48
350255	64	1524	6	4,2,4,4,2,2	48
350256	64	1530	6	4,2,4,4,2,2	48
350257	64	1536	6	2,4,4,2,2,2	48
350258	64	1542	6	4,4,4,2,2,2	48
350259	64	1548	6	2,2,2,4,2,2	48
350260	64	1554	6	2,2,4,2,2,2	48
350261	64	1560	6	4,2,4,2,2,2	48
350262	64	1566	6	2,4,4,2,2,2	48
350263	64	1572	6	4,4,4,4,2,2	48
350264	64	1578	6	4,2,2,4,2,2	48
