rep_id	order	matrix_offset	generator_count	generator_orders	matrix_bytes
450001	16	0	4	2,2,2,2	32
450002	16	4	4	2,2,2,2	32
450003	16	8	4	2,2,2,2	32
450004	16	12	4	2,2,2,2	32
450005	16	16	4	2,2,2,2	32
450006	16	20	4	2,2,2,2	32
450007	16	24	4	2,2,2,2	32
450008	16	28	4	2,2,2,2	32
450009	16	32	4	2,2,2,2	32
450010	16	36	4	2,2,2,2	32
450011	16	40	4	2,2,2,2	32
450012	16	44	4	2,2,2,2	32
450013	16	48	4	2,2,2,2	32
450014	16	52	4	2,2,2,2	32
450015	16	56	4	2,2,2,2	32
450016	16	60	4	2,2,2,2	32
450017	16	64	4	2,2,2,2	32
450018	16	68	4	2,2,2,2	32
450019	16	72	4	2,2,2,2	32
450020	16	76	4	2,2,2,2	32
450021	16	80	4	2,2,2,2	32
450022	16	84	4	2,2,2,2	32
450023	16	88	4	2,2,2,2	32
450024	16	92	4	2,2,2,2	32
450025	16	96	4	2,2,2,2	32
450026	16	100	4	2,2,2,2	32
450027	16	104	4	2,2,2,2	32
450028	16	108	4	2,2,2,2	32
450029	16	112	4	2,2,2,2	32
450030	16	116	4	2,2,2,2	32
450031	16	120	4	2,2,2,2	32
450032	16	124	4	2,2,2,2	32
450033	16	128	4	2,2,2,2	32
450034	16	132	4	2,2,2,2	32
450035	16	136	4	2,2,2,2	32
450036	16	140	4	2,2,2,2	32
450037	16	144	4	2,2,2,2	32
450038	16	148	4	2,2,2,2	32
450039	16	152	4	2,2,2,2	32
450040	16	156	4	2,2,2,2	32
450041	16	160	4	2,2,2,2	32
450042	16	164	4	2,2,2,2	32
450043	16	168	4	2,2,2,2	32
450044	16	172	4	2,2,2,2	32
450045	16	176	4	4,2,2,2	32
450046	16	180	4	2,2,2,2	32
450047	16	184	4	2,2,4,2	32
450048	16	188	4	4,2,2,2	32
450049	16	192	4	4,2,2,2	32
450050	16	196	4	2,4,2,2	32
450051	16	200	4	4,2,2,2	32
450052	16	204	4	2,2,2,2	32
450053	16	208	4	4,2,2,2	32
450054	16	212	4	2,2,2,2	32
450055	16	216	4	2,2,2,2	32
450056	16	220	4	2,2,2,2	32
450057	16	224	4	2,2,2,2	32
450058	16	228	4	2,2,2,2	32
450059	16	232	4	2,2,2,2	32
450060	16	236	4	2,2,2,2	32
450061	16	240	4	2,2,2,2	32
450062	16	244	4	2,2,2,2	32
450063	16	248	4	2,2,2,2	32
450064	16	252	4	2,2,2,2	32
450065	16	256	4	2,2,2,2	32
450066	16	260	4	2,2,2,2	32
450067	16	264	4	2,2,2,2	32
450068	16	268	4	2,2,2,2	32
450069	16	272	4	2,2,2,2	32
450070	16	276	4	2,2,2,2	32
450071	16	280	4	2,2,2,2	32
450072	16	284	4	2,2,2,2	32
450073	16	288	4	2,2,2,2	32
450074	16	292	4	2,2,2,2	32
450075	16	296	4	2,2,2,2	32
450076	16	300	4	2,2,2,2	32
450077	16	304	4	2,2,2,2	32
450078	16	308	4	2,2,2,2	32
450079	16	312	4	2,2,2,2	32
450080	16	316	4	2,2,2,2	32
450081	16	320	4	2,2,2,2	32
450082	16	324	4	2,2,2,2	32
450083	16	328	4	2,2,2,2	32
450084	16	332	4	2,2,2,2	32
450085	16	336	4	2,2,2,2	32
450086	16	340	4	2,2,2,2	32
450087	16	344	4	2,2,2,2	32
450088	16	348	4	2,2,2,2	32
450089	16	352	4	2,2,2,2	32
450090	16	356	4	2,2,2,2	32
450091	16	360	4	2,2,2,2	32
450092	16	364	4	2,2,2,2	32
450093	16	368	4	2,2,2,2	32
450094	16	372	4	2,2,2,2	32
450095	16	376	4	2,2,2,2	32
450096	16	380	4	2,2,2,2	32
450097	16	384	4	2,2,2,2	32
450098	16	388	4	2,2,2,2	32
450099	16	392	4	2,2,2,2	32
450100	16	396	4	2,2,2,2	32
450101	16	400	4	2,2,2,2	32
450102	16	404	4	2,2,2,2	32
450103	16	408	4	2,2,2,2	32
450104	16	412	4	2,2,2,2	32
450105	16	416	4	2,2,2,2	32
450106	16	420	4	2,2,2,2	32
450107	16	424	4	2,2,2,2	32
450108	16	428	4	2,2,2,2	32
450109	16	432	4	2,2,2,2	32
450110	16	436	4	2,2,2,2	32
450111	16	440	4	2,2,2,2	32
450112	16	444	4	2,2,2,2	32
450113	16	448	4	2,2,2,2	32
450114	16	452	4	2,2,2,2	32
450115	16	456	4	2,2,2,2	32
450116	16	460	4	2,2,2,2	32
450117	16	464	4	2,2,2,2	32
450118	16	468	4	2,2,2,2	32
450119	16	472	4	2,2,2,2	32
450120	16	476	4	2,2,2,2	32
450121	16	480	4	2,2,2,2	32
450122	16	484	4	2,2,2,2	32
450123	16	488	4	2,2,2,2	32
450124	16	492	4	2,2,2,2	32
450125	16	496	4	2,2,2,2	32
450126	16	500	4	2,2,2,2	32
450127	16	504	4	2,2,2,2	32
450128	16	508	4	2,2,2,2	32
450129	16	512	4	2,2,2,2	32
450130	16	516	4	2,2,2,2	32
450131	16	520	4	2,2,2,2	32
450132	16	524	4	4,2,2,2	32
450133	16	528	4	4,2,2,2	32
450134	16	532	4	4,2,2,2	32
450135	16	536	4	2,2,2,2	32
450136	16	540	4	4,2,2,2	32
450137	16	544	4	2,2,2,2	32
450138	16	548	4	2,2,2,2	32
450139	16	552	4	2,2,2,2	32
450140	16	556	4	2,2,2,2	32
450141	16	560	4	2,2,2,2	32
450142	16	564	4	2,2,2,2	32
450143	16	568	4	2,2,2,2	32
450144	16	572	4	2,2,2,2	32
450145	16	576	4	2,2,2,2	32
450146	16	580	4	2,2,2,2	32
450147	16	584	4	2,2,2,2	32
450148	16	588	4	4,2,2,2	32
450149	16	592	4	4,2,2,2	32
450150	16	596	4	2,2,2,2	32
450151	16	600	4	2,2,2,2	32
450152	16	604	4	2,2,4,2	32
450153	16	608	4	2,4,2,2	32
450154	16	612	4	4,2,2,2	32
450155	16	616	4	2,2,2,2	32
450156	16	620	4	4,2,2,2	32
450157	16	624	4	2,4,2,2	32
450158	16	628	4	2,4,2,2	32
450159	16	632	4	2,2,2,2	32
450160	16	636	4	2,2,2,2	32
450161	16	640	4	2,2,2,2	32
450162	16	644	4	2,2,2,2	32
450163	16	648	4	2,2,2,2	32
450164	16	652	4	2,2,2,2	32
450165	16	656	4	2,2,2,2	32
450166	16	660	4	2,2,2,2	32
450167	16	664	4	2,2,2,2	32
450168	16	668	4	2,2,2,2	32
450169	16	672	4	2,2,2,2	32
450170	16	676	4	2,2,2,2	32
450171	16	680	4	2,2,2,2	32
450172	16	684	4	2,2,2,2	32
450173	16	688	4	2,2,2,2	32
450174	16	692	4	2,2,2,2	32
450175	16	696	4	2,2,2,2	32
450176	16	700	4	2,2,2,2	32
450177	16	704	4	2,2,2,2	32
450178	16	708	4	2,2,2,2	32
450179	16	712	4	2,2,2,2	32
450180	16	716	4	2,2,2,2	32
450181	16	720	4	2,2,2,2	32
450182	16	724	4	2,2,2,2	32
450183	16	728	4	2,2,2,2	32
450184	16	732	4	2,2,2,2	32
450185	16	736	4	2,2,2,2	32
450186	16	740	4	2,2,2,2	32
450187	16	744	4	2,2,2,2	32
450188	16	748	4	2,2,2,2	32
450189	16	752	4	2,2,2,2	32
450190	16	756	4	2,2,2,2	32
450191	16	760	4	2,2,2,2	32
450192	16	764	4	2,2,2,2	32
450193	16	768	4	2,2,2,2	32
450194	16	772	4	2,2,2,2	32
450195	16	776	4	2,2,2,2	32
450196	16	780	4	2,2,2,2	32
450197	16	784	4	2,2,2,2	32
450198	16	788	4	2,2,2,2	32
450199	16	792	4	2,2,2,2	32
450200	16	796	4	2,2,2,2	32
450201	16	800	4	2,2,2,2	32
450202	16	804	4	2,2,2,2	32
450203	16	808	4	2,2,2,2	32
450204	16	812	4	2,2,2,2	32
450205	16	816	4	2,2,2,2	32
450206	16	820	4	2,2,2,2	32
450207	16	824	4	2,2,2,2	32
450208	16	828	4	2,2,2,2	32
450209	16	832	4	2,2,2,2	32
450210	16	836	4	2,2,2,2	32
450211	16	840	4	2,2,2,2	32
450212	16	844	4	2,2,2,2	32
450213	16	848	4	2,2,2,2	32
450214	16	852	4	2,2,2,2	32
450215	16	856	4	2,2,2,2	32
450216	16	860	4	2,2,2,2	32
450217	16	864	4	2,2,2,2	32
450218	16	868	4	2,2,2,2	32
450219	16	872	4	2,2,2,2	32
450220	16	876	4	2,2,2,2	32
450221	16	880	4	2,2,2,2	32
450222	16	884	4	2,2,2,2	32
450223	16	888	4	2,2,2,2	32
450224	16	892	4	2,2,2,2	32
450225	16	896	4	2,2,2,2	32
450226	16	900	4	2,2,2,2	32
450227	16	904	4	2,2,2,2	32
450228	16	908	4	2,2,2,2	32
450229	16	912	4	2,2,2,2	32
450230	16	916	4	2,2,2,2	32
450231	16	920	4	2,2,2,2	32
450232	16	924	4	2,2,2,2	32
450233	16	928	4	2,2,2,2	32
450234	16	932	4	2,2,2,2	32
450235	16	936	4	2,2,2,2	32
450236	16	940	4	2,2,2,2	32
450237	16	944	4	2,2,2,2	32
450238	16	948	4	2,2,2,2	32
450239	16	952	4	2,2,2,2	32
450240	16	956	4	2,2,2,2	32
450241	16	960	4	2,2,2,2	32
450242	16	964	4	2,2,2,2	32
450243	16	968	4	2,2,2,2	32
450244	16	972	4	2,2,2,2	32
450245	16	976	4	2,2,2,2	32
450246	16	980	4	2,2,2,2	32
450247	16	984	4	2,2,2,2	32
450248	16	988	4	2,2,2,2	32
450249	16	992	4	2,2,2,2	32
450250	16	996	4	2,2,2,2	32
450251	16	1000	4	2,2,2,2	32
450252	16	1004	4	2,2,2,2	32
450253	16	1008	4	2,2,2,2	32
450254	16	1012	4	2,2,2,2	32
450255	16	1016	4	2,2,2,2	32
450256	16	1020	4	2,2,2,2	32
450257	16	1024	4	2,2,2,2	32
450258	16	1028	4	2,2,2,2	32
450259	16	1032	4	2,2,2,2	32
450260	16	1036	4	2,2,2,2	32
450261	16	1040	4	2,2,2,2	32
450262	16	1044	4	2,2,2,2	32
450263	16	1048	4	2,2,2,2	32
450264	16	1052	4	2,2,2,2	32
450265	16	1056	4	2,2,2,2	32
450266	16	1060	4	2,2,2,2	32
450267	16	1064	4	2,2,2,2	32
450268	16	1068	4	2,2,2,2	32
450269	16	1072	4	2,2,2,2	32
450270	16	1076	4	2,2,2,2	32
450271	16	1080	4	2,2,2,2	32
450272	16	1084	4	2,2,2,2	32
450273	16	1088	4	2,2,2,2	32
450274	16	1092	4	2,2,2,2	32
450275	16	1096	4	2,2,2,2	32
450276	16	1100	4	2,2,2,2	32
450277	16	1104	4	2,2,2,2	32
