rep_id	order	matrix_offset	generator_count	generator_orders	matrix_bytes
50001	128	0	7	2,4,2,2,2,2,2	56
50002	128	7	7	2,2,2,2,2,2,2	56
50003	128	14	7	2,2,2,2,2,2,2	56
50004	128	21	7	2,2,2,2,2,2,2	56
50005	128	28	7	2,2,2,2,2,4,2	56
50006	128	35	7	2,2,2,2,2,2,2	56
50007	128	42	7	2,2,2,2,2,2,2	56
50008	128	49	7	2,2,4,2,2,2,2	56
50009	128	56	7	2,2,4,4,2,2,2	56
50010	128	63	7	2,2,4,2,2,2,2	56
50011	128	70	7	2,2,4,2,2,2,2	56
50012	128	77	7	2,2,4,4,2,2,2	56
50013	128	84	7	2,4,2,2,2,2,2	56
50014	128	91	7	2,4,2,2,2,2,2	56
50015	128	98	7	2,2,2,2,2,2,2	56
50016	128	105	7	2,2,2,2,2,2,2	56
50017	128	112	7	2,2,2,2,2,2,2	56
50018	128	119	7	2,4,2,2,2,2,2	56
50019	128	126	7	2,4,2,2,2,2,2	56
50020	128	133	7	2,2,2,2,2,2,2	56
50021	128	140	7	2,8,2,2,2,4,2	56
50022	128	147	7	2,4,2,2,2,4,2	56
50023	128	154	7	2,8,2,2,2,4,2	56
50024	128	161	7	2,2,2,2,2,4,2	56
50025	128	168	7	4,2,2,2,2,4,2	56
50026	128	175	7	2,4,2,2,2,4,2	56
50027	128	182	7	4,4,2,2,2,2,2	56
50028	128	189	7	4,4,2,2,2,2,2	56
50029	128	196	7	4,2,2,2,2,2,2	56
50030	128	203	7	4,4,2,2,2,2,2	56
50031	128	210	7	8,4,2,4,2,2,2	56
50032	128	217	7	8,4,2,4,2,2,2	56
50033	128	224	7	2,4,2,2,2,2,2	56
50034	128	231	7	2,8,2,2,4,2,2	56
50035	128	238	7	2,4,2,2,2,2,2	56
50036	128	245	7	2,4,2,2,2,2,2	56
50037	128	252	7	2,2,2,2,2,4,2	56
50038	128	259	7	2,2,2,2,2,4,2	56
50039	128	266	7	2,8,2,2,2,4,2	56
50040	128	273	7	2,2,2,2,2,4,2	56
50041	128	280	7	2,2,2,2,2,4,2	56
50042	128	287	7	2,2,2,2,2,4,2	56
50043	128	294	7	4,2,2,2,2,4,2	56
50044	128	301	7	2,2,2,2,2,4,2	56
50045	128	308	7	2,2,2,2,2,2,2	56
50046	128	315	7	2,2,2,2,2,2,2	56
50047	128	322	7	4,2,2,2,2,2,2	56
50048	128	329	7	4,4,2,2,2,2,2	56
50049	128	336	7	2,2,2,2,2,2,2	56
50050	128	343	7	2,4,2,2,2,2,2	56
50051	128	350	7	2,2,2,2,2,2,2	56
50052	128	357	7	2,2,4,2,2,2,2	56
50053	128	364	7	2,2,4,2,2,2,2	56
50054	128	371	7	2,2,4,4,2,2,2	56
50055	128	378	7	2,2,4,4,2,2,2	56
50056	128	385	7	2,2,4,2,2,2,2	56
50057	128	392	7	2,2,4,2,2,2,2	56
50058	128	399	7	2,2,4,2,2,2,2	56
50059	128	406	7	2,2,4,2,2,2,2	56
50060	128	413	7	2,2,4,4,2,2,2	56
50061	128	420	7	2,2,4,4,2,2,2	56
50062	128	427	7	2,2,2,2,2,2,2	56
50063	128	434	7	2,8,2,2,2,4,2	56
50064	128	441	7	2,8,2,2,2,4,2	56
50065	128	448	7	2,2,2,2,2,4,2	56
50066	128	455	7	4,2,2,2,2,4,2	56
50067	128	462	7	2,4,2,2,2,4,2	56
50068	128	469	7	4,2,2,2,2,2,2	56
50069	128	476	7	4,4,2,2,2,2,2	56
50070	128	483	7	8,4,2,4,2,2,2	56
50071	128	490	7	8,4,2,4,2,2,2	56
50072	128	497	7	2,2,2,2,2,2,2	56
50073	128	504	7	2,2,2,2,2,2,2	56
50074	128	511	7	2,2,2,4,2,2,2	56
50075	128	518	7	2,2,2,2,2,2,2	56
50076	128	525	7	2,4,2,4,2,2,2	56
50077	128	532	7	2,4,2,2,2,2,2	56
50078	128	539	7	2,4,2,4,2,2,2	56
50079	128	546	7	4,2,2,2,2,2,2	56
50080	128	553	7	2,2,2,2,2,2,2	56
50081	128	560	7	4,2,2,2,2,2,2	56
50082	128	567	7	2,4,2,2,2,2,2	56
50083	128	574	7	2,4,2,2,2,2,2	56
50084	128	581	7	2,4,2,2,2,2,2	56
50085	128	588	7	2,4,2,2,2,2,2	56
50086	128	595	7	2,2,4,2,2,2,2	56
50087	128	602	7	2,2,2,2,2,2,2	56
50088	128	609	7	2,2,4,2,2,2,2	56
50089	128	616	7	2,4,2,2,2,2,2	56
50090	128	623	7	2,2,2,2,2,2,2	56
50091	128	630	7	2,2,2,2,2,2,2	56
50092	128	637	7	2,2,2,2,2,2,2	56
50093	128	644	7	2,2,4,2,2,2,2	56
50094	128	651	7	2,2,2,2,2,2,2	56
50095	128	658	7	2,4,2,2,2,2,2	56
50096	128	665	7	2,2,4,2,2,2,2	56
50097	128	672	7	2,2,2,2,2,2,2	56
50098	128	679	7	2,2,2,2,2,2,2	56
50099	128	686	7	2,2,2,2,2,2,2	56
50100	128	693	7	2,2,2,2,2,2,2	56
50101	128	700	7	2,4,2,2,2,2,2	56
50102	128	707	7	2,4,2,2,4,2,2	56
50103	128	714	7	2,4,2,2,4,2,2	56
50104	128	721	7	2,2,2,2,4,2,2	56
50105	128	728	7	4,2,2,2,4,2,2	56
50106	128	735	7	2,4,2,2,4,2,2	56
50107	128	742	7	4,4,2,2,2,2,2	56
50108	128	749	7	4,4,2,2,2,2,2	56
50109	128	756	7	4,4,4,2,2,2,2	56
50110	128	763	7	4,4,4,2,2,2,2	56
50111	128	770	7	2,2,2,2,2,2,2	56
50112	128	777	7	2,2,4,2,2,2,2	56
50113	128	784	7	2,2,2,2,2,2,2	56
50114	128	791	7	2,2,4,2,2,2,2	56
50115	128	798	7	2,2,4,2,2,2,2	56
50116	128	805	7	2,2,2,2,2,4,2	56
50117	128	812	7	2,2,2,2,2,2,2	56
50118	128	819	7	2,2,2,2,2,2,2	56
50119	128	826	7	2,2,2,2,2,2,2	56
50120	128	833	7	4,2,2,2,2,2,2	56
50121	128	840	7	4,4,2,2,2,2,2	56
50122	128	847	7	2,2,2,4,2,2,2	56
50123	128	854	7	2,2,2,2,2,2,2	56
50124	128	861	7	2,2,2,4,2,2,2	56
50125	128	868	7	2,2,2,2,2,2,2	56
50126	128	875	7	2,2,2,2,2,2,2	56
50127	128	882	7	2,2,2,4,2,2,2	56
50128	128	889	7	4,2,2,4,2,2,2	56
50129	128	896	7	4,2,2,2,2,2,2	56
50130	128	903	7	4,2,2,4,2,2,2	56
50131	128	910	7	4,2,2,4,2,2,2	56
50132	128	917	7	4,2,2,2,2,2,2	56
50133	128	924	7	4,2,2,4,2,2,2	56
50134	128	931	7	2,2,2,4,2,2,2	56
50135	128	938	7	2,2,2,2,2,2,2	56
50136	128	945	7	2,2,2,4,2,2,2	56
50137	128	952	7	2,4,2,2,2,2,2	56
50138	128	959	7	2,2,2,4,2,2,2	56
50139	128	966	7	4,2,2,2,2,2,2	56
50140	128	973	7	4,2,2,2,2,2,2	56
50141	128	980	7	4,2,2,2,2,2,2	56
50142	128	987	7	4,2,2,2,2,2,2	56
50143	128	994	7	2,2,2,4,2,2,2	56
50144	128	1001	7	2,2,2,2,2,2,2	56
50145	128	1008	7	2,2,2,2,2,2,2	56
50146	128	1015	7	4,2,2,4,2,2,2	56
50147	128	1022	7	4,2,2,2,2,2,2	56
50148	128	1029	7	4,2,2,4,2,2,2	56
50149	128	1036	7	4,4,2,2,2,2,2	56
50150	128	1043	7	2,2,4,4,2,2,2	56
50151	128	1050	7	2,2,4,4,2,2,2	56
50152	128	1057	7	4,2,4,2,2,2,2	56
50153	128	1064	7	4,2,4,2,2,2,2	56
50154	128	1071	7	2,2,2,4,2,2,2	56
50155	128	1078	7	2,2,2,4,2,2,2	56
50156	128	1085	7	2,2,4,2,2,2,2	56
50157	128	1092	7	2,2,4,2,2,2,2	56
50158	128	1099	7	4,2,4,4,2,2,2	56
50159	128	1106	7	2,2,2,4,2,2,2	56
50160	128	1113	7	2,2,4,2,2,2,2	56
50161	128	1120	7	2,2,4,4,2,2,2	56
50162	128	1127	7	2,2,4,4,2,2,2	56
50163	128	1134	7	4,2,4,2,2,2,2	56
50164	128	1141	7	2,2,4,2,2,2,2	56
50165	128	1148	7	2,2,4,2,2,2,2	56
50166	128	1155	7	4,2,2,4,2,2,2	56
50167	128	1162	7	4,2,2,4,2,2,2	56
50168	128	1169	7	4,2,2,4,2,2,2	56
50169	128	1176	7	4,2,2,4,2,2,2	56
50170	128	1183	7	4,4,2,4,2,2,2	56
50171	128	1190	7	2,2,2,2,2,2,2	56
50172	128	1197	7	2,2,2,2,2,2,2	56
50173	128	1204	7	2,2,4,2,2,2,2	56
50174	128	1211	7	2,2,2,2,2,2,2	56
50175	128	1218	7	2,2,2,2,2,2,2	56
50176	128	1225	7	2,4,2,2,2,2,2	56
50177	128	1232	7	2,2,2,2,2,2,2	56
50178	128	1239	7	2,2,2,2,2,2,2	56
50179	128	1246	7	2,2,2,2,2,2,2	56
50180	128	1253	7	2,2,2,2,2,2,2	56
50181	128	1260	7	2,2,2,2,2,2,2	56
50182	128	1267	7	2,2,2,2,2,2,2	56
50183	128	1274	7	2,2,2,2,2,2,2	56
50184	128	1281	7	2,2,2,2,2,4,2	56
50185	128	1288	7	2,2,2,2,2,2,2	56
50186	128	1295	7	2,2,2,2,2,2,2	56
50187	128	1302	7	2,2,2,2,2,2,2	56
50188	128	1309	7	4,4,2,2,2,2,2	56
50189	128	1316	7	2,2,2,2,2,4,2	56
50190	128	1323	7	4,4,2,2,2,2,2	56
50191	128	1330	7	2,2,2,2,2,2,2	56
50192	128	1337	7	2,2,2,2,2,2,2	56
