rep_id	order	matrix_offset	generator_count	generator_orders	matrix_bytes
400001	128	0	7	4,4,4,2,2,2,2	56
400002	128	7	7	2,2,2,4,2,2,2	56
400003	128	14	7	4,2,4,4,2,2,2	56
400004	128	21	7	2,2,4,4,2,2,2	56
400005	128	28	7	2,2,2,4,2,2,2	56
400006	128	35	7	2,4,4,4,2,2,2	56
400007	128	42	7	2,4,2,2,2,2,2	56
400008	128	49	7	2,4,2,2,2,2,2	56
400009	128	56	7	2,2,4,2,2,2,2	56
400010	128	63	7	2,2,4,2,2,2,2	56
400011	128	70	7	2,4,4,2,2,2,2	56
400012	128	77	7	2,4,2,2,2,2,2	56
400013	128	84	7	2,4,2,4,2,2,2	56
400014	128	91	7	2,4,2,2,2,2,2	56
400015	128	98	7	2,4,2,4,2,2,2	56
400016	128	105	7	2,4,4,4,2,2,2	56
400017	128	112	7	2,4,4,4,2,2,2	56
400018	128	119	7	2,4,4,2,2,2,2	56
400019	128	126	7	2,4,4,4,2,2,2	56
400020	128	133	7	2,4,2,2,2,2,2	56
400021	128	140	7	4,2,4,2,2,2,2	56
400022	128	147	7	4,2,2,2,2,2,2	56
400023	128	154	7	2,4,2,2,2,2,2	56
400024	128	161	7	2,2,4,2,2,2,2	56
400025	128	168	7	4,4,2,2,2,2,2	56
400026	128	175	7	2,2,4,2,2,2,2	56
400027	128	182	7	2,2,4,2,2,2,2	56
400028	128	189	7	2,4,4,2,2,2,2	56
400029	128	196	7	4,4,4,2,2,2,2	56
400030	128	203	7	2,4,4,2,2,2,2	56
400031	128	210	7	4,4,4,2,2,2,2	56
400032	128	217	7	2,4,2,4,2,2,2	56
400033	128	224	7	4,4,2,4,2,2,2	56
400034	128	231	7	2,2,4,4,2,2,2	56
400035	128	238	7	2,4,2,4,2,2,2	56
400036	128	245	7	2,4,2,2,2,2,2	56
400037	128	252	7	4,4,2,2,2,2,2	56
400038	128	259	7	2,2,4,4,2,2,2	56
400039	128	266	7	2,4,2,4,2,2,2	56
400040	128	273	7	2,4,4,4,2,2,2	56
400041	128	280	7	2,2,4,4,2,2,2	56
400042	128	287	7	2,4,4,4,2,2,2	56
400043	128	294	7	2,4,4,4,2,2,2	56
400044	128	301	7	2,4,4,2,2,2,2	56
400045	128	308	7	4,4,4,2,2,2,2	56
400046	128	315	7	2,4,4,4,2,2,2	56
400047	128	322	7	2,4,4,4,2,2,2	56
400048	128	329	7	2,2,2,2,2,2,2	56
400049	128	336	7	2,2,4,2,2,2,2	56
400050	128	343	7	2,4,2,4,2,2,2	56
400051	128	350	7	2,2,4,4,2,2,2	56
400052	128	357	7	2,2,2,4,2,2,2	56
400053	128	364	7	2,4,2,2,2,2,2	56
400054	128	371	7	2,4,4,4,2,2,2	56
400055	128	378	7	2,2,4,2,2,2,2	56
400056	128	385	7	4,2,4,2,2,2,2	56
400057	128	392	7	2,4,4,2,2,2,2	56
400058	128	399	7	2,4,4,2,2,2,2	56
400059	128	406	7	2,4,4,4,2,2,2	56
400060	128	413	7	2,4,2,2,2,2,2	56
400061	128	420	7	2,2,4,2,2,2,2	56
400062	128	427	7	4,2,4,4,2,2,2	56
400063	128	434	7	2,2,2,4,2,2,2	56
400064	128	441	7	4,2,4,4,2,2,2	56
400065	128	448	7	2,2,4,4,2,2,2	56
400066	128	455	7	4,2,4,2,2,2,2	56
400067	128	462	7	2,4,2,4,2,2,2	56
400068	128	469	7	2,2,4,2,2,2,2	56
400069	128	476	7	2,4,4,2,2,2,2	56
400070	128	483	7	2,2,2,4,2,2,2	56
400071	128	490	7	2,2,4,2,2,2,2	56
400072	128	497	7	2,4,4,4,2,2,2	56
400073	128	504	7	2,4,4,2,2,2,2	56
400074	128	511	7	2,2,2,2,2,2,2	56
400075	128	518	7	4,4,2,2,2,2,2	56
400076	128	525	7	2,4,2,2,2,2,2	56
400077	128	532	7	4,4,4,2,2,2,2	56
400078	128	539	7	2,4,4,4,2,2,2	56
400079	128	546	7	2,4,4,2,2,2,2	56
400080	128	553	7	2,2,4,2,2,2,2	56
400081	128	560	7	4,2,2,2,2,2,2	56
400082	128	567	7	2,4,4,2,2,2,2	56
400083	128	574	7	4,4,4,2,2,2,2	56
400084	128	581	7	2,4,2,2,2,2,2	56
400085	128	588	7	2,2,4,2,2,2,2	56
400086	128	595	7	2,2,4,2,2,2,2	56
400087	128	602	7	4,4,4,2,2,2,2	56
400088	128	609	7	2,4,4,2,2,2,2	56
400089	128	616	7	2,4,2,2,2,2,2	56
400090	128	623	7	2,2,2,4,2,2,2	56
400091	128	630	7	2,4,4,2,2,2,2	56
400092	128	637	7	4,4,4,4,2,2,2	56
400093	128	644	7	2,4,2,4,2,2,2	56
400094	128	651	7	4,2,4,2,2,2,2	56
400095	128	658	7	2,4,4,2,2,2,2	56
400096	128	665	7	2,2,2,4,2,2,2	56
400097	128	672	7	4,4,4,4,2,2,2	56
400098	128	679	7	2,2,2,4,2,2,2	56
400099	128	686	7	2,4,4,2,2,2,2	56
400100	128	693	7	2,4,4,2,2,2,2	56
400101	128	700	7	4,4,2,2,2,2,2	56
400102	128	707	7	4,4,2,2,2,2,2	56
400103	128	714	7	4,4,2,2,2,2,2	56
400104	128	721	7	4,4,2,2,2,2,2	56
400105	128	728	7	4,4,2,2,2,2,2	56
400106	128	735	7	4,4,4,2,2,2,2	56
400107	128	742	7	4,2,4,2,2,2,2	56
400108	128	749	7	4,4,2,2,2,2,2	56
400109	128	756	7	2,4,4,2,2,2,2	56
400110	128	763	7	2,4,4,2,2,2,2	56
400111	128	770	7	2,4,2,2,2,2,2	56
400112	128	777	7	2,4,2,2,2,2,2	56
400113	128	784	7	4,2,2,2,2,2,2	56
400114	128	791	7	4,2,2,2,2,2,2	56
400115	128	798	7	4,4,2,2,2,2,2	56
400116	128	805	7	2,4,4,2,2,2,2	56
400117	128	812	7	4,4,2,2,2,2,2	56
400118	128	819	7	4,4,2,2,2,2,2	56
400119	128	826	7	4,4,2,2,2,2,2	56
400120	128	833	7	4,4,2,2,2,2,2	56
400121	128	840	7	4,4,2,2,2,2,2	56
400122	128	847	7	2,4,4,2,2,2,2	56
400123	128	854	7	4,2,2,2,2,2,2	56
400124	128	861	7	2,2,4,2,2,2,2	56
400125	128	868	7	4,4,4,2,2,2,2	56
400126	128	875	7	4,4,2,2,2,2,2	56
400127	128	882	7	4,4,2,2,2,2,2	56
400128	128	889	7	2,4,4,2,2,2,2	56
400129	128	896	7	4,4,4,2,2,2,2	56
400130	128	903	7	4,2,2,2,2,2,2	56
400131	128	910	7	4,4,4,2,2,2,2	56
400132	128	917	7	2,2,4,2,2,2,2	56
400133	128	924	7	4,2,4,2,2,2,2	56
400134	128	931	7	4,4,4,2,2,2,2	56
400135	128	938	7	4,4,4,2,2,2,2	56
400136	128	945	7	4,2,2,2,2,2,2	56
400137	128	952	7	4,2,2,2,2,2,2	56
400138	128	959	7	4,4,4,2,2,2,2	56
400139	128	966	7	2,4,2,2,2,2,2	56
400140	128	973	7	4,2,2,2,2,2,2	56
400141	128	980	7	2,2,4,2,2,2,2	56
400142	128	987	7	4,2,4,2,2,2,2	56
400143	128	994	7	4,4,4,2,2,2,2	56
400144	128	1001	7	4,4,4,2,2,2,2	56
400145	128	1008	7	4,4,4,2,2,2,2	56
400146	128	1015	7	4,2,4,2,2,2,2	56
400147	128	1022	7	2,2,4,2,2,2,2	56
400148	128	1029	7	2,2,2,2,2,2,2	56
400149	128	1036	7	4,2,4,2,2,2,2	56
400150	128	1043	7	4,2,4,2,2,2,2	56
400151	128	1050	7	4,2,4,2,2,2,2	56
400152	128	1057	7	2,4,4,2,2,2,2	56
400153	128	1064	7	4,4,2,2,2,2,2	56
400154	128	1071	7	4,4,4,2,2,2,2	56
400155	128	1078	7	4,4,2,2,2,2,2	56
400156	128	1085	7	4,4,2,2,2,2,2	56
400157	128	1092	7	4,2,4,2,2,2,2	56
400158	128	1099	7	2,2,4,2,2,2,2	56
400159	128	1106	7	4,2,2,2,2,2,2	56
400160	128	1113	7	2,4,4,2,2,2,2	56
400161	128	1120	7	4,2,4,2,2,2,2	56
400162	128	1127	7	4,2,2,2,2,2,2	56
400163	128	1134	7	2,2,4,2,2,2,2	56
400164	128	1141	7	2,4,4,2,2,2,2	56
400165	128	1148	7	2,4,4,2,2,2,2	56
400166	128	1155	7	4,2,2,2,2,2,2	56
400167	128	1162	7	4,2,2,2,2,2,2	56
400168	128	1169	7	4,2,2,2,2,2,2	56
400169	128	1176	7	2,2,2,2,2,2,2	56
400170	128	1183	7	4,4,2,2,2,2,2	56
400171	128	1190	7	4,2,2,2,2,2,2	56
400172	128	1197	7	4,4,4,2,2,2,2	56
400173	128	1204	7	2,4,4,2,2,2,2	56
400174	128	1211	7	2,4,2,2,2,2,2	56
400175	128	1218	7	4,4,4,2,2,2,2	56
400176	128	1225	7	2,2,2,2,2,2,2	56
400177	128	1232	7	2,4,2,4,4,2,2	56
400178	128	1239	7	2,2,2,4,4,2,2	56
400179	128	1246	7	2,2,2,2,2,2,2	56
400180	128	1253	7	2,2,2,2,2,2,2	56
400181	128	1260	7	2,2,2,2,4,2,2	56
400182	128	1267	7	2,2,2,2,4,2,2	56
400183	128	1274	7	2,2,2,2,4,2,2	56
400184	128	1281	7	2,2,2,2,2,2,2	56
400185	128	1288	7	2,2,2,2,2,4,2	56
400186	128	1295	7	2,2,2,4,4,4,2	56
400187	128	1302	7	2,2,2,2,2,2,2	56
400188	128	1309	7	2,4,2,4,2,2,2	56
400189	128	1316	7	2,2,2,2,2,2,2	56
400190	128	1323	7	2,2,2,4,2,2,2	56
400191	128	1330	7	2,2,2,2,2,4,2	56
400192	128	1337	7	4,2,2,2,2,2,2	56
400193	128	1344	7	4,2,2,4,2,4,2	56
400194	128	1351	7	2,2,2,2,4,2,2	56
400195	128	1358	7	2,2,2,4,4,4,2	56
400196	128	1365	7	4,2,4,2,2,2,2	56
400197	128	1372	7	2,2,2,2,4,4,2	56
400198	128	1379	7	2,2,2,2,2,2,2	56
400199	128	1386	7	2,2,2,2,4,2,2	56
400200	128	1393	7	2,2,2,2,4,2,2	56
400201	128	1400	7	2,2,2,2,2,2,2	56
400202	128	1407	7	2,4,2,2,2,2,2	56
400203	128	1414	7	2,2,2,2,2,4,2	56
400204	128	1421	7	2,2,2,2,2,2,2	56
400205	128	1428	7	4,2,2,2,2,2,2	56
400206	128	1435	7	2,2,2,2,4,2,2	56
400207	128	1442	7	2,2,2,4,2,4,2	56
400208	128	1449	7	2,2,2,2,4,2,2	56
400209	128	1456	7	2,4,2,4,2,2,2	56
400210	128	1463	7	2,2,2,2,2,4,2	56
400211	128	1470	7	2,2,2,2,4,2,2	56
400212	128	1477	7	2,2,2,2,2,2,2	56
400213	128	1484	7	2,2,2,4,4,2,2	56
400214	128	1491	7	2,2,2,2,4,2,2	56
400215	128	1498	7	2,2,2,2,2,2,2	56
400216	128	1505	7	2,2,2,2,4,2,2	56
400217	128	1512	7	4,2,2,2,2,2,2	56
400218	128	1519	7	2,2,2,2,2,2,2	56
400219	128	1526	7	2,2,2,2,2,4,2	56
400220	128	1533	7	2,2,2,2,4,2,2	56
400221	128	1540	7	2,2,2,2,2,4,2	56
400222	128	1547	7	4,2,2,2,2,2,2	56
400223	128	1554	7	2,2,2,2,2,4,2	56
400224	128	1561	7	2,2,2,2,2,4,2	56
400225	128	1568	7	2,2,2,4,4,2,2	56
400226	128	1575	7	2,2,2,2,2,2,2	56
400227	128	1582	7	2,4,2,4,4,2,2	56
400228	128	1589	7	2,2,2,4,2,2,2	56
400229	128	1596	7	2,2,2,2,2,2,2	56
400230	128	1603	7	2,2,2,2,4,4,2	56
400231	128	1610	7	2,2,2,4,2,4,2	56
400232	128	1617	7	2,2,2,4,4,2,2	56
400233	128	1624	7	2,2,2,2,2,2,2	56
400234	128	1631	7	2,2,2,2,2,2,2	56
400235	128	1638	7	4,2,4,2,2,2,2	56
400236	128	1645	7	2,2,2,2,2,2,2	56
400237	128	1652	7	4,2,2,2,2,2,2	56
400238	128	1659	7	2,2,2,2,2,2,2	56
400239	128	1666	7	2,2,2,2,2,2,2	56
400240	128	1673	7	2,2,2,2,4,2,2	56
400241	128	1680	7	2,2,2,2,2,2,2	56
400242	128	1687	7	2,2,2,4,4,4,2	56
400243	128	1694	7	2,2,2,4,2,4,2	56
400244	128	1701	7	2,4,2,4,2,2,2	56
400245	128	1708	7	2,2,2,2,4,4,2	56
400246	128	1715	7	2,2,2,4,2,2,2	56
400247	128	1722	7	2,4,2,2,2,2,2	56
400248	128	1729	7	2,4,2,2,4,2,2	56
400249	128	1736	7	2,4,2,2,4,2,2	56
400250	128	1743	7	2,2,2,4,4,4,2	56
400251	128	1750	7	4,2,4,2,2,2,2	56
400252	128	1757	7	2,2,2,2,2,4,2	56
400253	128	1764	7	2,2,2,4,2,2,2	56
400254	128	1771	7	2,2,2,4,4,2,2	56
400255	128	1778	7	2,2,2,2,2,2,2	56
400256	128	1785	7	2,2,2,4,2,2,2	56
400257	128	1792	7	2,2,2,2,4,2,2	56
400258	128	1799	7	2,2,2,4,4,2,2	56
400259	128	1806	7	4,2,2,2,2,2,2	56
400260	128	1813	7	2,2,2,4,4,2,2	56
400261	128	1820	7	2,2,2,4,4,4,2	56
400262	128	1827	7	2,2,2,2,2,4,2	56
400263	128	1834	7	2,2,2,2,2,2,2	56
400264	128	1841	7	2,2,2,2,2,2,2	56
400265	128	1848	7	2,2,2,4,2,4,2	56
400266	128	1855	7	2,2,2,2,4,2,2	56
400267	128	1862	7	2,2,2,2,2,4,2	56
400268	128	1869	7	2,2,2,2,2,2,2	56
400269	128	1876	7	2,2,2,2,2,4,2	56
400270	128	1883	7	2,2,2,2,4,2,2	56
400271	128	1890	7	4,2,2,4,2,2,2	56
400272	128	1897	7	2,2,2,2,2,2,2	56
400273	128	1904	7	2,2,2,2,4,2,2	56
400274	128	1911	7	2,4,2,2,2,2,2	56
400275	128	1918	7	2,4,2,2,2,2,2	56
400276	128	1925	7	2,2,2,2,4,2,2	56
400277	128	1932	7	2,2,2,2,4,2,2	56
400278	128	1939	7	2,2,2,4,2,4,2	56
400279	128	1946	7	4,2,4,2,2,2,2	56
400280	128	1953	7	2,2,2,4,2,2,2	56
400281	128	1960	7	4,2,2,2,2,2,2	56
400282	128	1967	7	2,2,2,2,4,2,2	56
400283	128	1974	7	4,4,2,2,2,2,2	56
400284	128	1981	7	2,4,2,2,2,2,2	56
400285	128	1988	7	4,4,2,2,2,2,2	56
400286	128	1995	7	2,2,2,4,2,2,2	56
400287	128	2002	7	2,2,2,4,2,2,2	56
400288	128	2009	7	2,2,4,4,2,2,2	56
400289	128	2016	7	4,2,4,2,2,2,2	56
400290	128	2023	7	4,4,2,2,2,2,2	56
400291	128	2030	7	4,4,2,2,2,2,2	56
400292	128	2037	7	4,4,2,2,2,2,2	56
400293	128	2044	7	4,2,2,2,2,2,2	56
400294	128	2051	7	2,4,4,2,2,2,2	56
400295	128	2058	7	4,4,2,2,2,2,2	56
400296	128	2065	7	4,4,2,2,2,2,2	56
400297	128	2072	7	2,4,2,2,2,2,2	56
400298	128	2079	7	4,4,2,2,2,2,2	56
400299	128	2086	7	2,2,2,4,2,2,2	56
400300	128	2093	7	2,2,2,4,2,2,2	56
400301	128	2100	7	2,2,4,2,2,2,2	56
400302	128	2107	7	4,2,2,4,2,2,2	56
400303	128	2114	7	4,2,2,4,2,2,2	56
400304	128	2121	7	2,4,4,2,2,2,2	56
400305	128	2128	7	2,4,4,2,2,2,2	56
400306	128	2135	7	4,4,4,2,2,2,2	56
400307	128	2142	7	4,2,2,2,2,2,2	56
400308	128	2149	7	4,4,2,2,2,2,2	56
400309	128	2156	7	4,4,2,2,2,2,2	56
400310	128	2163	7	4,4,4,2,2,2,2	56
400311	128	2170	7	4,4,4,2,2,2,2	56
400312	128	2177	7	4,4,2,2,2,2,2	56
400313	128	2184	7	4,4,4,2,2,2,2	56
400314	128	2191	7	4,4,2,2,2,2,2	56
400315	128	2198	7	2,2,4,2,2,2,2	56
400316	128	2205	7	4,4,4,2,2,2,2	56
400317	128	2212	7	4,2,4,2,2,2,2	56
400318	128	2219	7	4,4,4,2,2,2,2	56
400319	128	2226	7	4,4,4,2,2,2,2	56
400320	128	2233	7	4,2,4,2,2,2,2	56
400321	128	2240	7	4,4,2,2,2,2,2	56
400322	128	2247	7	4,2,4,2,2,2,2	56
400323	128	2254	7	2,2,4,2,2,2,2	56
400324	128	2261	7	4,4,4,2,2,2,2	56
400325	128	2268	7	4,4,4,2,2,2,2	56
400326	128	2275	7	2,4,4,2,2,2,2	56
400327	128	2282	7	2,4,2,4,4,2,2	56
400328	128	2289	7	4,2,2,2,2,2,2	56
400329	128	2296	7	2,2,2,2,4,2,2	56
400330	128	2303	7	2,4,4,2,4,2,2	56
400331	128	2310	7	2,4,4,2,2,2,2	56
400332	128	2317	7	4,4,2,2,4,2,2	56
400333	128	2324	7	2,2,2,4,2,2,2	56
400334	128	2331	7	2,4,2,2,4,2,2	56
400335	128	2338	7	2,4,2,4,2,2,2	56
400336	128	2345	7	2,4,2,2,2,2,2	56
400337	128	2352	7	2,4,2,2,4,2,2	56
400338	128	2359	7	4,2,2,2,4,2,2	56
400339	128	2366	7	2,4,4,4,2,2,2	56
400340	128	2373	7	2,2,2,2,2,2,2	56
400341	128	2380	7	2,2,2,2,4,2,2	56
400342	128	2387	7	2,2,2,2,2,2,2	56
400343	128	2394	7	2,2,4,2,2,2,2	56
400344	128	2401	7	2,2,2,2,2,2,2	56
400345	128	2408	7	4,2,2,2,2,2,2	56
400346	128	2415	7	4,4,4,2,2,2,2	56
400347	128	2422	7	2,2,4,2,2,2,2	56
400348	128	2429	7	2,2,4,2,2,2,2	56
400349	128	2436	7	2,4,2,2,2,2,2	56
400350	128	2443	7	2,4,2,4,2,2,2	56
400351	128	2450	7	4,2,2,2,2,2,2	56
400352	128	2457	7	4,2,2,2,2,2,2	56
400353	128	2464	7	4,4,2,2,2,2,2	56
400354	128	2471	7	4,4,2,2,2,2,2	56
400355	128	2478	7	4,4,2,4,2,2,2	56
400356	128	2485	7	2,4,2,4,2,2,2	56
400357	128	2492	7	4,8,4,2,2,2,2	56
400358	128	2499	7	8,2,4,2,2,2,2	56
400359	128	2506	7	4,8,4,2,2,2,2	56
400360	128	2513	7	4,2,2,4,2,2,2	56
400361	128	2520	7	4,4,2,4,2,2,2	56
400362	128	2527	7	4,2,2,2,2,2,2	56
400363	128	2534	7	4,4,2,2,2,2,2	56
400364	128	2541	7	2,2,2,4,2,2,2	56
400365	128	2548	7	2,8,2,4,2,2,2	56
400366	128	2555	7	4,4,2,2,2,2,2	56
400367	128	2562	7	4,2,2,2,2,2,2	56
400368	128	2569	7	2,4,4,2,2,2,2	56
400369	128	2576	7	4,4,2,2,2,2,2	56
400370	128	2583	7	4,4,4,2,2,2,2	56
400371	128	2590	7	4,4,2,2,2,2,2	56
400372	128	2597	7	4,4,2,2,2,2,2	56
400373	128	2604	7	4,2,4,2,2,2,2	56
400374	128	2611	7	4,2,4,2,2,2,2	56
400375	128	2618	7	4,4,4,2,2,2,2	56
400376	128	2625	7	2,2,4,2,2,2,2	56
400377	128	2632	7	2,4,2,2,2,2,2	56
400378	128	2639	7	2,4,4,2,2,2,2	56
400379	128	2646	7	4,4,2,2,2,2,2	56
400380	128	2653	7	4,2,2,2,2,2,2	56
400381	128	2660	7	4,2,2,2,2,2,2	56
400382	128	2667	7	2,4,2,2,2,2,2	56
400383	128	2674	7	4,2,4,2,2,2,2	56
